SMILES,Name,InChI,Formula,MW,LogP,pKd,Structure,Synthesize,Chemical,SA_Score,SA_Score_Binary
SCCNC(=O)c1nc(c[nH]1)c1cccc(c1ON)F,27/000000254,"InChI=1S/C12H13FN4O2S/c13-8-3-1-2-7(10(8)19-14)9-6-16-11(17-9)12(18)15-4-5-20/h1-3,6,20H,4-5,14H2,(H,15,18)(H,16,17)",C12H13N4O2SF,296,1.01,4.99,3.68,3.58,-140,3.2746020591277016,1
OCc1nc(c[nH]1)c1cccc(c1ON)F,27/000000048,"InChI=1S/C10H10FN3O2/c11-7-3-1-2-6(10(7)16-12)8-4-13-9(5-15)14-8/h1-4,15H,5,12H2,(H,13,14)",C10H10N3O2F,223,0.12,4.98,2.54,2.22,-120,3.240136167656024,1
NOc1c(cccc1F)c1nc([nH]c1)C(=C)/C=C/CC,27/000000439,"InChI=1S/C15H16FN3O/c1-3-4-6-10(2)15-18-9-13(19-15)11-7-5-8-12(16)14(11)20-17/h4-9H,2-3,17H2,1H3,(H,18,19)/b6-4+",C15H16N3OF,273,2.45,4.98,0.9,3.58,-160,3.5745320041826467,1
Oc1c(cc(cc1F)F)/C=C/[C@@H](CO)/C=C/C(=O)N,1/000000066,"InChI=1S/C13H13F2NO3/c14-10-5-9(13(19)11(15)6-10)3-1-8(7-17)2-4-12(16)18/h1-6,8,17,19H,7H2,(H2,16,18)/b3-1+,4-2+/t8-/m1/s1",C13H13NO3F2,269,0.93,4.96,2.85,2.22,-150,3.7741773538103924,1
NOc1c(cccc1F)c1nc([nH]c1)C(=O)NC,27/000000012,"InChI=1S/C11H11FN4O2/c1-14-11(17)10-15-5-8(16-10)6-3-2-4-7(12)9(6)18-13/h2-5H,13H2,1H3,(H,14,17)(H,15,16)",C11H11N4O2F,250,0.34,4.95,2.41,2.22,-140,3.1934889644534534,1
NOc1c(cc(cc1F)/C(=C\CC)/C)c1nc[nH]c1,27/000000033,"InChI=1S/C14H16FN3O/c1-3-4-9(2)10-5-11(13-7-17-8-18-13)14(19-16)12(15)6-10/h4-8H,3,16H2,1-2H3,(H,17,18)/b9-4-",C14H16N3OF,261,2.15,4.94,5.19,18.4,-200,3.440293065440338,1
NOc1c(F)cc(cc1c1nc([nH]c1)CC#CC)OCC=C,27/000000277,"InChI=1S/C16H16FN3O2/c1-3-5-6-15-19-10-14(20-15)12-8-11(21-7-4-2)9-13(17)16(12)22-18/h4,8-10H,2,6-7,18H2,1H3,(H,19,20)",C16H16N3O2F,301,2.16,4.92,1.6,23.6,-140,3.625635764134648,1
OCc1nc(c[nH]1)c1c(ON)c(F)cc(c1)Nc1ncncc1,27/000000142,"InChI=1S/C14H13FN6O2/c15-10-4-8(20-12-1-2-17-7-19-12)3-9(14(10)23-16)11-5-18-13(6-22)21-11/h1-5,7,22H,6,16H2,(H,18,21)(H,17,19,20)",C14H13N6O2F,316,-0.23,4.91,4.92,21.6,-120,3.314856556190617,1
NOc1c(F)cc(cc1c1nc[nH]c1)CC(=O)/C=C/CCF,27/000000452,"InChI=1S/C15H15F2N3O2/c16-4-2-1-3-11(21)5-10-6-12(14-8-19-9-20-14)15(22-18)13(17)7-10/h1,3,6-9H,2,4-5,18H2,(H,19,20)/b3-1+",C15H15N3O2F2,307,1.64,4.91,4.16,3.58,-120,3.5566640519758392,1
NOc1c(F)cc(cc1c1nc[nH]c1)CC(=O)/C=C\C=C/C,27/000000450,"InChI=1S/C16H16FN3O2/c1-2-3-4-5-12(21)6-11-7-13(15-9-19-10-20-15)16(22-18)14(17)8-11/h2-5,7-10H,6,18H2,1H3,(H,19,20)/b3-2-,5-4-",C16H16N3O2F,301,1.45,4.9,4.89,3.58,-140,3.5326499080552427,1
NOc1c(F)cc(cc1c1nc[nH]c1)CCS(=O)(=O)CC,27/000000262,"InChI=1S/C13H16FN3O3S/c1-2-21(18,19)4-3-9-5-10(12-7-16-8-17-12)13(20-15)11(14)6-9/h5-8H,2-4,15H2,1H3,(H,16,17)",C13H16N3O3SF,313,1.15,4.89,4.63,3.58,-140,3.290442028920234,1
NOc1c(F)cc(cc1c1nc[nH]c1)Nc1ncccn1,27/000000398,"InChI=1S/C13H11FN6O/c14-10-5-8(20-13-17-2-1-3-18-13)4-9(12(10)21-15)11-6-16-7-19-11/h1-7H,15H2,(H,16,19)(H,17,18,20)",C13H11N6OF,286,0.57,4.88,5.47,19.8,-120,3.101117517027377,1
OC(=O)[C@@H](c1ccc(c(c1)O)I)OC(=O)CC(=O)C,22/000000019,"InChI=1S/C12H11IO6/c1-6(14)4-10(16)19-11(12(17)18)7-2-3-8(13)9(15)5-7/h2-3,5,11,15H,4H2,1H3,(H,17,18)/t11-/m1/s1",C12H11O6I,378,1.33,4.87,2.3,4.69,-170,3.112190783674645,1
SCOc1cc(F)c(c(c1)c1nc([nH]c1)CC#CC)ON,27/000000458,"InChI=1S/C14H14FN3O2S/c1-2-3-4-13-17-7-12(18-13)10-5-9(19-8-21)6-11(15)14(10)20-16/h5-7,21H,4,8,16H2,1H3,(H,17,18)",C14H14N3O2SF,307,1.86,4.82,0.92,23.9,-140,3.9314798655429914,1
NOc1c(cccc1F)c1nc([nH]c1)C(=O)O,27/000000136,"InChI=1S/C10H8FN3O3/c11-6-3-1-2-5(8(6)17-12)7-4-13-9(14-7)10(15)16/h1-4H,12H2,(H,13,14)(H,15,16)",C10H7N3O3F,236,0.11,4.8,2.41,2.22,-120,3.144948414901113,1
NOc1c(F)cccc1c1nc([nH]c1)C(=C)/C=C/c1nocc1,27/000000468,"InChI=1S/C16H13FN4O2/c1-10(5-6-11-7-8-22-21-11)16-19-9-14(20-16)12-3-2-4-13(17)15(12)23-18/h2-9H,1,18H2,(H,19,20)/b6-5+",C16H13N4O2F,312,2.22,4.8,1.62,3.58,-180,3.731864947799009,1
NOc1c(cccc1F)c1nc([nH]c1)COC,27/000000087,"InChI=1S/C11H12FN3O2/c1-16-6-10-14-5-9(15-10)7-3-2-4-8(12)11(7)17-13/h2-5H,6,13H2,1H3,(H,14,15)",C11H12N3O2F,237,0.64,4.79,2.16,2.22,-160,3.1624560049174786,1
NNC(=O)c1nc(c([nH]1)CCCCCC)N(=O)=O,21/000000005,"InChI=1S/C10H17N5O3/c1-2-3-4-5-6-7-9(15(17)18)13-8(12-7)10(16)14-11/h2-6,11H2,1H3,(H,12,13)(H,14,16)",C10H17N5O3,255,0.68,4.77,1.09,21.6,-80,2.900898314531947,1
Oc1c(cc(cc1F)F)/C=C/[C@H](CON)CO,1/000000018,"InChI=1S/C11H13F2NO3/c12-9-3-8(11(16)10(13)4-9)2-1-7(5-15)6-17-14/h1-4,7,15-16H,5-6,14H2/b2-1+/t7-/m0/s1",C11H13NO3F2,245,0.54,4.76,3.85,2.22,-150,3.6939740005860013,1
OC(=O)[C@@H](c1ccc(c(c1)O)I)OC(=O)CC(=O)N,22/000000042,"InChI=1S/C11H10INO6/c12-6-2-1-5(3-7(6)14)10(11(17)18)19-9(16)4-8(13)15/h1-3,10,14H,4H2,(H2,13,15)(H,17,18)/t10-/m1/s1",C11H10NO6I,379,0.33,4.76,1.96,4.69,-170,3.219936014443876,1
NOc1c(cc(cc1F)CCS(=O)(=O)C)c1nc[nH]c1,27/000000030,"InChI=1S/C12H14FN3O3S/c1-20(17,18)3-2-8-4-9(11-6-15-7-16-11)12(19-14)10(13)5-8/h4-7H,2-3,14H2,1H3,(H,15,16)",C12H14N3O3SF,299,0.79,4.74,3.75,3.58,-140,3.259991040146682,1
OC(=O)[C@@H](c1ccc(c(c1)O)I)OC(=O)C#CC,22/000000035,"InChI=1S/C12H9IO5/c1-2-3-10(15)18-11(12(16)17)7-4-5-8(13)9(14)6-7/h4-6,11,14H,1H3,(H,16,17)/t11-/m1/s1",C12H9O5I,360,2.52,4.73,1.43,3.58,-170,3.5539915738343506,1
