SMILES;Name;InChI;Formula;MW;LogP;pKd;Structure;Synthesize;Chemical
S[C@@H](c1nnc([nH]1)/C=C/c1c(I)nccc1S)Cl;30/000000140;InChI=1S/C10H8ClIN4S2/c11-8(18)10-14-7(15-16-10)2-1-5-6(17)3-4-13-9(5)12/h1-4,8,18H,(H,13,17)(H,14,15,16)/b2-1+/t8-/m0/s1;C10H8N4S2ClI;410;4.21;4.23;7.61;2.22;-150
Oc1cnc(c(c1S)/C=C/[C@H](C1=CCC1)Cl)I;30/000000132;InChI=1S/C12H11ClINOS/c13-9(7-2-1-3-7)5-4-8-11(17)10(16)6-15-12(8)14/h2,4-6,9,16H,1,3H2,(H,15,17)/b5-4+/t9-/m1/s1;C12H11NOSClI;379;2.97;4.33;7.31;3.58;-150
Oc1cnc(c(c1S)/C=C/[C@H](CO)Cl)I;30/000000193;InChI=1S/C9H9ClINO2S/c10-5(4-13)1-2-6-8(15)7(14)3-12-9(6)11/h1-3,5,13-14H,4H2,(H,12,15)/b2-1+/t5-/m1/s1;C9H9NO2SClI;357;2.12;4.01;5.03;3.58;-150
Oc1cnc(c(c1CS)c1ccn(c1)CCCC[NH3+])I;30/000000045;InChI=1S/C14H18IN3OS/c15-14-13(11(9-20)12(19)7-17-14)10-3-6-18(8-10)5-2-1-4-16/h3,6-8,19-20H,1-2,4-5,9,16H2/p+1;C14H19N3OSI;404;2.79;4.16;8.86;19.00;-120
SCn1nc(c(c1CC[NH3+])Br)C(=O)Oc1cncc(c1)Br;30/000000096;InChI=1S/C12H12Br2N4O2S/c13-7-3-8(5-16-4-7)20-12(19)11-10(14)9(1-2-15)18(6-21)17-11/h3-5,21H,1-2,6,15H2/p+1;C12H13N4O2SBr2;437;1.88;4.05;4.19;23.70;0
S[C@@H](c1nnc([nH]1)/C=C/c1c(I)nccc1S)Cl;30/000000146;InChI=1S/C10H8ClIN4S2/c11-8(18)10-14-7(15-16-10)2-1-5-6(17)3-4-13-9(5)12/h1-4,8,18H,(H,13,17)(H,14,15,16)/b2-1+/t8-/m0/s1;C10H8N4S2ClI;410;4.21;4.25;7.38;2.22;-150
OC/C(=C\c1c(I)nccc1S)/c1nnc([nH]1)[C@H](SC)O;30/000000176;InChI=1S/C12H13IN4O2S2/c1-21-12(19)11-15-10(16-17-11)6(5-18)4-7-8(20)2-3-14-9(7)13/h2-4,12,18-19H,5H2,1H3,(H,14,20)(H,15,16,17)/b6-4+/t12-/m0/s1;C12H13N4O2S2I;436;2.64;4.14;8.53;24.20;-170
OC/C(=C\c1c(I)nccc1S)/c1nnc([nH]1)[C@H](SC)O;30/000000177;InChI=1S/C12H13IN4O2S2/c1-21-12(19)11-15-10(16-17-11)6(5-18)4-7-8(20)2-3-14-9(7)13/h2-4,12,18-19H,5H2,1H3,(H,14,20)(H,15,16,17)/b6-4+/t12-/m0/s1;C12H13N4O2S2I;436;2.64;4.11;8.39;24.20;-170
Oc1cnc(c(c1)C#CC(=O)OCc1nc([nH]c1)S)I;30/000000014;InChI=1S/C12H8IN3O3S/c13-11-7(3-9(17)5-14-11)1-2-10(18)19-6-8-4-15-12(20)16-8/h3-5,17H,6H2,(H2,15,16,20);C12H8N3O3SI;401;2.48;4.09;5.76;23.70;0
Sc1c(ONC(=O)CC2CCCC2)c(I)ncc1O;30/000000034;InChI=1S/C12H15IN2O3S/c13-12-10(11(19)8(16)6-14-12)18-15-9(17)5-7-3-1-2-4-7/h6-7,16H,1-5H2,(H,14,19)(H,15,17);C12H15N2O3SI;394;2.59;4.39;7.62;17.80;-150
C#CC(=O)OC[C@@H](/C=C/c1c(I)ncc(c1S)O)Cl;30/000000147;InChI=1S/C12H9ClINO3S/c1-2-10(17)18-6-7(13)3-4-8-11(19)9(16)5-15-12(8)14/h1,3-5,7,16H,6H2,(H,15,19)/b4-3+/t7-/m1/s1;C12H9NO3SClI;409;3.14;4.72;7.10;5.09;-150
Sc1c(c(I)ncc1ON)/C=C/c1nnc[nH]1;30/000000024;InChI=1S/C9H8IN5OS/c10-9-5(1-2-7-13-4-14-15-7)8(17)6(16-11)3-12-9/h1-4H,11H2,(H,12,17)(H,13,14,15)/b2-1+;C9H8N5OSI;361;2.09;4.41;6.95;20.10;0
Oc1cnc(c(c1S)/C=C/[C@H](c1cnc[nH]1)Cl)I;30/000000184;InChI=1S/C11H9ClIN3OS/c12-7(8-3-14-5-16-8)2-1-6-10(18)9(17)4-15-11(6)13/h1-5,7,17H,(H,14,16)(H,15,18)/b2-1+/t7-/m1/s1;C11H9N3OSClI;393;2.40;4.70;7.72;3.58;-150
Oc1cnc(c(c1S)c1sccc1)I;30/000000054;InChI=1S/C9H6INOS2/c10-9-7(6-2-1-3-14-6)8(13)5(12)4-11-9/h1-4,12H,(H,11,13);C9H6NOS2I;335;2.86;4.01;7.14;15.70;-120
Sc1c(c(I)ncc1N=O)/C=C/c1nc(c[nH]1)CC=C;30/000000028;InChI=1S/C13H11IN4OS/c1-2-3-8-6-15-11(17-8)5-4-9-12(20)10(18-19)7-16-13(9)14/h2,4-7H,1,3H2,(H,15,17)(H,16,20)/b5-4+;C13H11N4OSI;398;2.99;4.75;8.21;24.00;0
SCN[C@H](Nc1c(I)ncc(c1S)O)N;30/000000082;InChI=1S/C7H11IN4OS2/c8-6-4(12-7(9)11-2-14)5(15)3(13)1-10-6/h1,7,11-14H,2,9H2,(H,10,15);C7H9N4OS2I;356;1.38;4.23;5.53;17.00;0
Oc1cnc(c(c1C=S)C#CC(=O)OCc1[nH]ccc1)I;30/000000038;InChI=1S/C14H9IN2O3S/c15-14-10(11(8-21)12(18)6-17-14)3-4-13(19)20-7-9-2-1-5-16-9/h1-2,5-6,8,16,18H,7H2;C14H9N2O3SI;412;2.58;4.05;8.95;25.00;0
Oc1cnc(c(c1S)/C=C/[C@@H]1[NH2+]CCC1)I;30/000000004;InChI=1S/C11H13IN2OS/c12-11-8(10(16)9(15)6-14-11)4-3-7-2-1-5-13-7/h3-4,6-7,13,15H,1-2,5H2,(H,14,16)/p+1/b4-3+/t7-/m1/s1;C11H14N2OSI;349;2.62;4.47;7.37;3.58;-150
Sc1c(c(I)ncc1CO)/C=C/[C@H]1SCCC1;30/000000102;InChI=1S/C12H14INOS2/c13-12-10(4-3-9-2-1-5-17-9)11(16)8(7-15)6-14-12/h3-4,6,9,15H,1-2,5,7H2,(H,14,16)/b4-3+/t9-/m0/s1;C12H14NOS2I;379;3.14;4.14;7.79;3.72;-150
Oc1cnc(c(c1S)/C=C/[C@H](C1=CCC1)Cl)I;30/000000126;InChI=1S/C12H11ClINOS/c13-9(7-2-1-3-7)5-4-8-11(17)10(16)6-15-12(8)14/h2,4-6,9,16H,1,3H2,(H,15,17)/b5-4+/t9-/m1/s1;C12H11NOSClI;379;2.97;4.40;7.02;3.58;-150
OCC[C@@H](c1nnc([nH]1)/C=C/c1c(I)nccc1S)SC;30/000000027;InChI=1S/C13H15IN4OS2/c1-21-10(5-7-19)13-16-11(17-18-13)3-2-8-9(20)4-6-15-12(8)14/h2-4,6,10,19H,5,7H2,1H3,(H,15,20)(H,16,17,18)/b3-2+/t10-/m0/s1;C13H15N4OS2I;434;3.82;4.20;9.09;23.60;-170
SC[C@@H](/C=C/c1c(I)ncc(c1S)O)Cl;30/000000118;InChI=1S/C9H9ClINOS2/c10-5(4-14)1-2-6-8(15)7(13)3-12-9(6)11/h1-3,5,13-14H,4H2,(H,12,15)/b2-1+/t5-/m1/s1;C9H9NOS2ClI;373;3.51;4.31;6.48;3.58;-150
Sc1c(c(I)ncc1O)/C=C/c1nnc([nH]1)[C@H](C[NH3+])Cl;30/000000204;InChI=1S/C11H11ClIN5OS/c12-6(3-14)11-16-8(17-18-11)2-1-5-9(20)7(19)4-15-10(5)13/h1-2,4,6,19H,3,14H2,(H,15,20)(H,16,17,18)/p+1/b2-1+/t6-/m0/s1;C11H12N5OSClI;424;2.72;5.42;8.00;23.00;-150
N[C@H](N[C@@H](CCN)CN)Nc1c(I)ncc(c1S)O;30/000000077;InChI=1S/C10H19IN6OS/c11-9-7(8(19)6(18)4-15-9)17-10(14)16-5(3-13)1-2-12/h4-5,10,16-18H,1-3,12-14H2,(H,15,19)/t5-,10?/m0/s1;C10H17N6OSI;396;-0.09;4.30;6.99;19.10;-150
Oc1cnc(c(c1S)/C=C/[C@@H]1[NH2+]CCC1)I;30/000000016;InChI=1S/C11H13IN2OS/c12-11-8(10(16)9(15)6-14-11)4-3-7-2-1-5-13-7/h3-4,6-7,13,15H,1-2,5H2,(H,14,16)/p+1/b4-3+/t7-/m1/s1;C11H14N2OSI;349;2.62;4.47;7.37;3.58;-150
N=C1N(c2c(I)ncc(c2S)N=O)CCC1;30/000000032;InChI=1S/C9H9IN4OS/c10-9-7(14-3-1-2-6(14)11)8(16)5(13-15)4-12-9/h4,11H,1-3H2,(H,12,16)/b11-6+;C9H9N4OSI;348;2.43;4.09;8.38;17.70;-120
Oc1cnc(c(c1S)/C=C/[C@H](C1=CCC1)Cl)I;30/000000129;InChI=1S/C12H11ClINOS/c13-9(7-2-1-3-7)5-4-8-11(17)10(16)6-15-12(8)14/h2,4-6,9,16H,1,3H2,(H,15,17)/b5-4+/t9-/m1/s1;C12H11NOSClI;379;2.97;4.61;6.76;3.58;-150
S[C@@H](c1nnc([nH]1)/C=C/c1c(I)nccc1S)Cl;30/000000144;InChI=1S/C10H8ClIN4S2/c11-8(18)10-14-7(15-16-10)2-1-5-6(17)3-4-13-9(5)12/h1-4,8,18H,(H,13,17)(H,14,15,16)/b2-1+/t8-/m0/s1;C10H8N4S2ClI;410;4.21;4.26;7.57;2.22;-150
Oc1cnc(c(c1S)/C=C/[C@@H]1[NH2+]CCC1)I;30/000000015;InChI=1S/C11H13IN2OS/c12-11-8(10(16)9(15)6-14-11)4-3-7-2-1-5-13-7/h3-4,6-7,13,15H,1-2,5H2,(H,14,16)/p+1/b4-3+/t7-/m1/s1;C11H14N2OSI;349;2.62;4.50;7.48;3.58;-150
Oc1cnc(c(c1S)/C=C/[C@@H]1[NH2+]CCC1)I;30/000000006;InChI=1S/C11H13IN2OS/c12-11-8(10(16)9(15)6-14-11)4-3-7-2-1-5-13-7/h3-4,6-7,13,15H,1-2,5H2,(H,14,16)/p+1/b4-3+/t7-/m1/s1;C11H14N2OSI;349;2.62;4.50;7.48;3.58;-150
Oc1cnc(c(c1CS)c1ccn(c1)CCCC[NH3+])I;30/000000048;InChI=1S/C14H18IN3OS/c15-14-13(11(9-20)12(19)7-17-14)10-3-6-18(8-10)5-2-1-4-16/h3,6-8,19-20H,1-2,4-5,9,16H2/p+1;C14H19N3OSI;404;2.79;4.18;8.55;19.00;-120
Oc1cnc(c(c1S)ONC(=O)C[C@H](C=C)S)I;30/000000035;InChI=1S/C10H11IN2O3S2/c1-2-5(17)3-7(15)13-16-8-9(18)6(14)4-12-10(8)11/h2,4-5,14,17H,1,3H2,(H,12,18)(H,13,15)/t5-/m0/s1;C10H11N2O3S2I;398;2.10;4.24;8.08;19.70;-150
OC/C(=C\c1c(I)ncc(c1S)O)/c1nnc([nH]1)CSC;30/000000159;InChI=1S/C12H13IN4O2S2/c1-21-5-9-15-12(17-16-9)6(4-18)2-7-10(20)8(19)3-14-11(7)13/h2-3,18-19H,4-5H2,1H3,(H,14,20)(H,15,16,17)/b6-2+;C12H13N4O2S2I;436;3.00;5.46;9.53;24.20;-20
OC/C(=C\c1c(I)nccc1S)/c1nnc([nH]1)[C@@H]([NH3+])SC;30/000000199;InChI=1S/C12H14IN5OS2/c1-21-10(14)12-16-11(17-18-12)6(5-19)4-7-8(20)2-3-15-9(7)13/h2-4,10,19H,5,14H2,1H3,(H,15,20)(H,16,17,18)/p+1/b6-4+/t10-/m0/s1;C12H15N5OS2I;436;2.58;4.12;8.44;24.40;-170
Sc1ccnc(c1/C=C/c1nc(c[nH]1)[C@](CNN)(C)C=C)I;30/000000122;InChI=1S/C15H18IN5S/c1-3-15(2,9-20-17)12-8-19-13(21-12)5-4-10-11(22)6-7-18-14(10)16/h3-8,20H,1,9,17H2,2H3,(H,18,22)(H,19,21)/b5-4+/t15-/m1/s1;C15H18N5SI;427;2.95;4.38;7.23;5.39;-170
OCCC(=O)CN[C@@H](Nc1c(I)ncc(c1Cl)N(=O)=O)N;30/000000072;InChI=1S/C10H13ClIN5O4/c11-7-6(17(20)21)4-14-9(12)8(7)16-10(13)15-3-5(19)1-2-18/h4,10,15-16,18H,1-3,13H2;C10H12N5O4ClI;428;0.38;4.50;8.15;22.90;-30
