ID_Control;SMILES_curated;IC50 (nM)
ID_184;O=C1c2ccccc2C(=O)c2c1nnn2-c1cc(F)c(-c2ccc(F)cc2)c(F)c1;6.9
ID_185;CCn1c(CO)nn(-c2cc3c(cc2F)[C@@H](O)[C@H](c2ccccc2C)CN3C(C)C)c1=O;6.91
ID_186;CCn1c(CO)nn(-c2cc3c(C(C)C)cn(-c4cc(C)ncc4C)c(=O)c3cc2F)c1=O;6.93
ID_187;C[C@H](Oc1cc(-n2nc3n(c2=O)CCOC3)c(F)cc1C(=O)Nc1c(Cl)cc(F)cc1Cl)C(F)(F)F;7.0
ID_188;CCn1c(C(=O)O)nn(-c2cc(OC(C)C(C)(F)F)c(C(=O)Nc3c(F)cccc3Cl)cc2F)c1=O;7.0
ID_189;Cc1c(-c2ccc(-c3ccccc3)cc2)nc2ccc(F)cc2c1C(=O)O;7.0
ID_190;O=C(O)c1c(O)c(-c2ccc(-c3ccc(O)cc3)cc2)nc2ccc(F)cc12;7.0
ID_191;CCC[C@H](C)Oc1cc(-n2nc([C@H](C)O)n(C)c2=O)c(F)cc1C(=O)Nc1c(C)cccc1F;7.0
ID_192;Cc1cccc(Cl)c1NC(=O)c1cc(F)c(-n2nc3n(c2=O)CCOC3)cc1O[C@@H](C)C(F)(F)F;7.0
ID_193;C[C@H](Oc1cc(-n2nc(CO)n(C3CCC3)c2=O)c(F)cc1C(=O)Nc1c(F)cccc1Cl)C(F)(F)F;7.0
