SMILES,Name,InChI,Formula,MW,LogP,pKd,Structure,Synthesize,Chemical,SA_Score,SA_Score_Binary
OC[C@H]1NC(=NC(=C1)C(=O)CBr)/C=C/CNCc1n[nH]nc1	No_7_162,18/000000045,"InChI=1S/C13H17BrN6O2/c14-5-12(22)11-4-9(8-21)17-13(18-11)2-1-3-15-6-10-7-16-20-19-10/h1-2,4,7,9,15,21H,3,5-6,8H2,(H,17,18)(H,16,19,20)/b2-1+/t9-/m0/s1",C13H17N6O2Br,369,0.77,4.4,5.64,6.77,-150,4.527920933600621,0
OC(=O)C1=C(CCl)CC=C(O1)C(=O)C#CCN	No_6_555,23/000000297,"InChI=1S/C11H10ClNO4/c12-6-7-3-4-9(8(14)2-1-5-13)17-10(7)11(15)16/h4H,3,5-6,13H2,(H,15,16)",C11H10NO4Cl,255,0.31,4.4,3.79,21.3,0,3.9801324681281827,1
O[C@H](CC)C/C=C/CCc1ccc([nH]1)C(=O)c1nc(=O)o[nH]1	No_4_47,23/000000120,"InChI=1S/C15H19N3O4/c1-2-11(19)7-5-3-4-6-10-8-9-12(16-10)13(20)14-17-15(21)22-18-14/h3,5,8-9,11,16,19H,2,4,6-7H2,1H3,(H,17,18,21)/b5-3+/t11-/m1/s1",C15H19N3O4,305,0.91,4.39,7.05,3.58,-170,3.9052892072624434,1
Oc1ncc(c(n1)[C@H](CCC)O)C(=O)O	No_2_189,29/000000075,"InChI=1S/C9H12N2O4/c1-2-3-6(12)7-5(8(13)14)4-10-9(15)11-7/h4,6,12H,2-3H2,1H3,(H,13,14)(H,10,11,15)/t6-/m0/s1",C9H12N2O4,212,0.19,4.39,4.9,12.4,-170,3.4086696512617376,1
O[C@H](C(=O)c1cc(F)ccc1O)C#Cc1nonc1CCl	No_6_695,18/000000096,"InChI=1S/C13H8ClFN2O4/c14-6-10-9(16-21-17-10)2-4-12(19)13(20)8-5-7(15)1-3-11(8)18/h1,3,5,12,18-19H,6H2/t12-/m0/s1",C13H8N2O4FCl,310,2.2,4.39,5.63,3.58,-150,3.8018100865769924,1
Oc1ncc(c(n1)CCCCOC(=O)[C@H](C)N)C(=O)O	No_2_262,29/000000103,"InChI=1S/C12H17N3O5/c1-7(13)11(18)20-5-3-2-4-9-8(10(16)17)6-14-12(19)15-9/h6-7H,2-5,13H2,1H3,(H,16,17)(H,14,15,19)/t7-/m0/s1",C12H17N3O5,283,-0.02,4.39,6.2,3.85,-170,3.2676496355415656,1
OC(=O)c1cc(c2n[nH]c(n2)C(=O)O)ccc1CNCCCl	No_5_614,6/000000023,"InChI=1S/C13H13ClN4O4/c14-3-4-15-6-8-2-1-7(5-9(8)12(19)20)10-16-11(13(21)22)18-17-10/h1-2,5,15H,3-4,6H2,(H,19,20)(H,21,22)(H,16,17,18)",C13H13N4O4Cl,324,1.72,4.39,0.65,3.72,-180,2.677444668662167,1
Oc1cc(c2n[nH]nc2)cc(c1)CCC/C=C\CCCC(=O)O	No_2_387,28/000000441,"InChI=1S/C17H21N3O3/c21-15-10-13(9-14(11-15)16-12-18-20-19-16)7-5-3-1-2-4-6-8-17(22)23/h1-2,9-12,21H,3-8H2,(H,22,23)(H,18,19,20)/b2-1-",C17H21N3O3,315,3.84,4.39,-0.35,22.4,-140,2.737333479267539,1
O[C@@H](CCCn1cnnc1)C#Cc1ccc(cc1Cl)N	No_2_428,15/000000026,"InChI=1S/C14H15ClN4O/c15-14-8-12(16)5-3-11(14)4-6-13(20)2-1-7-19-9-17-18-10-19/h3,5,8-10,13,20H,1-2,7,16H2/t13-/m0/s1",C14H15N4OCl,290,3.64,4.39,0.49,3.58,-170,3.4981638055820508,1
Oc1ncc(c(n1)[C@H](CC)O)C(=O)O	No_2_244,29/000000094,"InChI=1S/C8H10N2O4/c1-2-5(11)6-4(7(12)13)3-9-8(14)10-6/h3,5,11H,2H2,1H3,(H,12,13)(H,9,10,14)/t5-/m0/s1",C8H10N2O4,198,-0.17,4.39,4.89,11.8,-170,3.441338334366174,1
O[C@H](C1=CCCO1)C(=O)Nc1ccc(c(c1)Cl)C#CC(=O)C	No_5_442,21/000000194,"InChI=1S/C16H14ClNO4/c1-10(19)4-5-11-6-7-12(9-13(11)17)18-16(21)15(20)14-3-2-8-22-14/h3,6-7,9,15,20H,2,8H2,1H3,(H,18,21)/t15-/m1/s1",C16H14NO4Cl,319,1.68,4.39,7.23,3.72,-170,3.6085447130998096,1
OC(=O)c1cnc([nH]1)[C@H](c1nc(I)c(cc1)C#CCC)N	No_6_619,26/000000147,"InChI=1S/C14H13IN4O2/c1-2-3-4-8-5-6-9(18-12(8)15)11(16)13-17-7-10(19-13)14(20)21/h5-7,11H,2,16H2,1H3,(H,17,19)(H,20,21)/t11-/m0/s1",C14H13N4O2I,396,1.43,4.39,3.66,22.6,-170,3.9585676462586905,1
OCc1nnc([nH]1)C#Cc1nnc([nH]1)CN[C@H](CN)C	No_4_193,18/000000012,"InChI=1S/C11H16N8O/c1-7(4-12)13-5-10-14-8(16-18-10)2-3-9-15-11(6-20)19-17-9/h7,13,20H,4-6,12H2,1H3,(H,14,16,18)(H,15,17,19)/t7-/m0/s1",C11H16N8O,276,1.11,4.38,0.98,25.0,-190,4.5094431578087715,0
Oc1nccc(n1)c1[nH]ncc1CO	No_1_234,23/000000003,"InChI=1S/C8H8N4O2/c13-4-5-3-10-12-7(5)6-1-2-9-8(14)11-6/h1-3,13H,4H2,(H,10,12)(H,9,11,14)",C8H8N4O2,192,-0.03,4.38,4.65,14.2,-120,3.097045585692138,1
OC(=O)c1c[nH]c(c1)Cc1ccc(cc1C(=O)O)CO	No_5_640,6/000000025,"InChI=1S/C14H13NO5/c16-7-8-1-2-9(12(3-8)14(19)20)4-11-5-10(6-15-11)13(17)18/h1-3,5-6,15-16H,4,7H2,(H,17,18)(H,19,20)",C14H13NO5,275,0.92,4.38,2.16,2.35,-60,2.5260920191676615,1
Oc1cc(c2n[nH]nc2)cc(c1)CCCCCOC(=O)C	No_1_133,28/000000155,"InChI=1S/C15H19N3O3/c1-11(19)21-6-4-2-3-5-12-7-13(9-14(20)8-12)15-10-16-18-17-15/h7-10,20H,2-6H2,1H3,(H,16,17,18)",C15H19N3O3,289,3.77,4.38,-0.6,20.2,-140,2.538941312739862,1
OC(=O)C1=CCC=C(O1)C(=O)C#CCN	No_4_606,23/000000023,"InChI=1S/C10H9NO4/c11-6-2-3-7(12)8-4-1-5-9(15-8)10(13)14/h4-5H,1,6,11H2,(H,13,14)",C10H9NO4,207,0.22,4.38,4.77,3.85,0,3.8847650137382512,1
Oc1ccc(c(c1)C[NH3+])c1ccc([nH]1)C(=O)c1nc(=O)o[nH]1	No_4_587,23/000000229,"InChI=1S/C14H12N4O4/c15-6-7-5-8(19)1-2-9(7)10-3-4-11(16-10)12(20)13-17-14(21)22-18-13/h1-5,16,19H,6,15H2,(H,17,18,21)/p+1",C14H13N4O4,301,0.49,4.38,5.47,3.58,-120,3.6546211239361366,1
OC/C=C/C[C@H](CO)c1cccc(c1)CO	No_5_313,17/000000015,"InChI=1S/C13H18O3/c14-7-2-1-5-13(10-16)12-6-3-4-11(8-12)9-15/h1-4,6,8,13-16H,5,7,9-10H2/b2-1+/t13-/m1/s1",C13H18O3,222,0.48,4.38,3.7,3.85,-150,3.090580777036921,1
OCC1=CC(=C[C@H](N1)/C=C/c1cncc(c1)Br)C[NH3+]	No_5_5,13/000000086,"InChI=1S/C14H16BrN3O/c15-12-3-10(7-17-8-12)1-2-13-4-11(6-16)5-14(9-19)18-13/h1-5,7-8,13,18-19H,6,9,16H2/p+1/b2-1+/t13-/m1/s1",C14H17N3OBr,323,0.56,4.38,5.92,2.35,-150,4.6724161170079785,0
OC(=O)C1=Cc2c(C1)ccc(c2)C#CCCNCC	No_6_651,26/000000151,"InChI=1S/C16H17NO2/c1-2-17-8-4-3-5-12-6-7-13-10-15(16(18)19)11-14(13)9-12/h6-7,9,11,17H,2,4,8,10H2,1H3,(H,18,19)",C16H17NO2,255,2.31,4.38,6.12,17.4,-60,2.878502789678363,1
OC(=O)Cc1c(O)noc1C(=O)Cc1[nH]ccc1	No_7_277,3/000000173,"InChI=1S/C11H10N2O5/c14-8(4-6-2-1-3-12-6)10-7(5-9(15)16)11(17)13-18-10/h1-3,12H,4-5H2,(H,13,17)(H,15,16)",C11H10N2O5,250,0.2,4.38,1.27,2.35,-60,3.2355341952226837,1
OCC1=CC(=C[C@H](N1)/C=C/c1cncc(c1)Br)CC(=O)CF	No_5_98,13/000000109,"InChI=1S/C16H16BrFN2O2/c17-13-3-11(8-19-9-13)1-2-14-4-12(6-16(22)7-18)5-15(10-21)20-14/h1-5,8-9,14,20-21H,6-7,10H2/b2-1+/t14-/m1/s1",C16H16N2O2FBr,367,1.23,4.38,4.53,3.72,-150,4.3603385869150495,0
OCc1cnn(c1CCc1ccc2c(c1Cl)CNNC2)CCl	No_6_553,15/000000037,"InChI=1S/C15H18Cl2N4O/c16-9-21-14(12(8-22)6-20-21)4-3-10-1-2-11-5-18-19-7-13(11)15(10)17/h1-2,6,18-19,22H,3-5,7-9H2",C15H18N4OCl2,340,2.63,4.38,7.34,3.84,-80,3.5161013791647786,1
Oc1cc2OCNc2cc1C#C[C@H](CCc1n[nH]nc1)Br	No_2_357,21/000000154,"InChI=1S/C14H13BrN4O2/c15-10(3-4-11-7-17-19-18-11)2-1-9-5-12-14(6-13(9)20)21-8-16-12/h5-7,10,16,20H,3-4,8H2,(H,17,18,19)/t10-/m1/s1",C14H13N4O2Br,349,3.71,4.38,2.25,23.7,-190,4.290110121364139,0
Oc1cc2OCNc2cc1C#CCCC[NH2+][C@@H](CBr)Cl	No_3_168,21/000000221,"InChI=1S/C14H16BrClN2O2/c15-8-14(16)17-5-3-1-2-4-10-6-11-13(7-12(10)19)20-9-18-11/h6-7,14,17-19H,1,3,5,8-9H2/p+1/t14-/m0/s1",C14H17N2O2ClBr,360,3.34,4.37,1.89,19.0,-190,4.732028582909987,0
OC(=O)C1=C(CC=C(O1)C(=O)C#CCN)CC	No_6_347,23/000000289,"InChI=1S/C12H13NO4/c1-2-8-5-6-10(9(14)4-3-7-13)17-11(8)12(15)16/h6H,2,5,7,13H2,1H3,(H,15,16)",C12H13NO4,235,0.33,4.37,3.95,3.85,-20,3.8525552106030974,1
Oc1cc(cc(c1)c1n[nH]nc1)NC(=O)CCC	No_1_490,28/000000228,"InChI=1S/C12H14N4O2/c1-2-3-12(18)14-9-4-8(5-10(17)6-9)11-7-13-16-15-11/h4-7,17H,2-3H2,1H3,(H,14,18)(H,13,15,16)",C12H14N4O2,246,2.47,4.37,0.62,18.6,-140,2.452789181648024,1
Oc1c(C#CCCCNC(=O)[C@@H](CCl)CF)cc2c(c1)OCN2	No_3_190,21/000000224,"InChI=1S/C16H18ClFN2O3/c17-8-12(9-18)16(22)19-5-3-1-2-4-11-6-13-15(7-14(11)21)23-10-20-13/h6-7,12,20-21H,1,3,5,8-10H2,(H,19,22)/t12-/m0/s1",C16H18N2O3FCl,340,2.77,4.37,1.17,23.4,-190,3.929043080579582,1
O[C@@H](CN)C(=O)Nc1ccc(c(c1)Cl)C#CC	No_5_310,21/000000191,"InChI=1S/C12H13ClN2O2/c1-2-3-8-4-5-9(6-10(8)13)15-12(17)11(16)7-14/h4-6,11,16H,7,14H2,1H3,(H,15,17)/t11-/m0/s1",C12H13N2O2Cl,252,1.07,4.37,8.19,2.35,-170,3.0315950708201163,1
