SMILES;Name;InChI;Formula;MW;LogP;pKd;Structure;Synthesize;Chemical
OC(=O)c1nonc1C1=NNC(=O)C1	No_3_46;4/000000010;InChI=1S/C6H4N4O4/c11-3-1-2(7-8-3)4-5(6(12)13)10-14-9-4/h1H2,(H,8,11)(H,12,13);C6H4N4O4;196;0.24;4.32;4.45;21.20;-80
OC(=O)C1=CO[C@@H](CO1)/C=C/CO	No_4_10;6/000000005;InChI=1S/C8H10O5/c9-3-1-2-6-4-13-7(5-12-6)8(10)11/h1-2,5-6,9H,3-4H2,(H,10,11)/b2-1+/t6-/m1/s1;C8H10O5;186;0.22;4.10;0.55;2.35;-190
OC(=O)C1=CO[C@@H](CO1)/C=C/CO	No_5_15;6/000000014;InChI=1S/C8H10O5/c9-3-1-2-6-4-13-7(5-12-6)8(10)11/h1-2,5-6,9H,3-4H2,(H,10,11)/b2-1+/t6-/m1/s1;C8H10O5;186;0.22;4.10;0.55;2.35;-190
OC(=O)c1cc(c2nc([nH]n2)C(=O)O)ccc1CCCCCO	No_4_237;6/000000008;InChI=1S/C15H17N3O5/c19-7-3-1-2-4-9-5-6-10(8-11(9)14(20)21)12-16-13(15(22)23)18-17-12/h5-6,8,19H,1-4,7H2,(H,20,21)(H,22,23)(H,16,17,18);C15H17N3O5;319;1.86;4.40;0.15;3.72;-180
OC(=O)c1c(ccc(c1)c1nc([nH]n1)C(=O)O)/C=C/C	No_4_441;6/000000011;InChI=1S/C13H11N3O4/c1-2-3-7-4-5-8(6-9(7)12(17)18)10-14-11(13(19)20)16-15-10/h2-6H,1H3,(H,17,18)(H,19,20)(H,14,15,16)/b3-2+;C13H11N3O4;273;2.27;4.40;0.37;3.72;-200
OC(=O)c1c[nH]c(c1)Cc1ccc(cc1C(=O)O)CO	No_5_639;6/000000024;InChI=1S/C14H13NO5/c16-7-8-1-2-9(12(3-8)14(19)20)4-11-5-10(6-15-11)13(17)18/h1-3,5-6,15-16H,4,7H2,(H,17,18)(H,19,20);C14H13NO5;275;0.92;4.35;2.35;2.35;-60
OCC#CCNC(=O)c1ncnc(c1)c1nonc1	No_4_339;6/000000034;InChI=1S/C11H9N5O3/c17-4-2-1-3-12-11(18)9-5-8(13-7-14-9)10-6-15-19-16-10/h5-7,17H,3-4H2,(H,12,18);C11H9N5O3;259;-0.12;4.04;3.57;23.00;-160
OC(=O)c1c[nH]c(c1)Cc1ccc(cc1C(=O)C)C[NH2+]CC=C	No_5_655;6/000000028;InChI=1S/C18H20N2O3/c1-3-6-19-10-13-4-5-14(17(7-13)12(2)21)8-16-9-15(11-20-16)18(22)23/h3-5,7,9,11,19-20H,1,6,8,10H2,2H3,(H,22,23)/p+1;C18H21N2O3;313;2.08;4.16;2.96;3.70;-80
OC/C=C/Cc1oc(cn1)[C@@H](c1ccc(cc1)I)O	No_2_81;6/000000004;InChI=1S/C14H14INO3/c15-11-6-4-10(5-7-11)14(18)12-9-16-13(19-12)3-1-2-8-17/h1-2,4-7,9,14,17-18H,3,8H2/b2-1+/t14-/m1/s1;C14H14NO3I;371;1.64;4.14;0.33;3.58;-190
OC(=O)c1c[nH]c(c1)Cc1ccc(cc1C(=O)C)C[NH2+]CC=C	No_5_649;6/000000027;InChI=1S/C18H20N2O3/c1-3-6-19-10-13-4-5-14(17(7-13)12(2)21)8-16-9-15(11-20-16)18(22)23/h3-5,7,9,11,19-20H,1,6,8,10H2,2H3,(H,22,23)/p+1;C18H21N2O3;313;2.08;4.16;2.75;3.70;-80
OC(=O)c1c[nH]c(c1)Cc1ccc(cc1C(=O)C)c1nccn1CCl	No_5_225;6/000000016;InChI=1S/C18H16ClN3O3/c1-11(23)16-8-13(17-20-4-5-22(17)10-19)3-2-12(16)6-15-7-14(9-21-15)18(24)25/h2-5,7-9,21H,6,10H2,1H3,(H,24,25);C18H16N3O3Cl;357;2.56;4.64;3.52;3.70;-200
OCC#CCNC(=O)c1ncnc(c1)c1cnccc1	No_4_170;6/000000032;InChI=1S/C14H12N4O2/c19-7-2-1-6-16-14(20)13-8-12(17-10-18-13)11-4-3-5-15-9-11/h3-5,8-10,19H,6-7H2,(H,16,20);C14H12N4O2;268;-0.38;4.17;4.57;17.60;-180
