SMILES,Name,InChI,Formula,MW,LogP,pKd,Structure,Synthesize,Chemical,SA_Score,SA_Score_Binary
C#CCc1n[nH]c(c1C#C[C@H](c1ccccc1O)O)N	No_3_488,30/000000019,"InChI=1S/C15H13N3O2/c1-2-5-12-10(15(16)18-17-12)8-9-14(20)11-6-3-4-7-13(11)19/h1,3-4,6-7,14,19-20H,5H2,(H3,16,17,18)/t14-/m1/s1",C15H13N3O2,267,1.63,4.39,6.14,23.0,-150,3.8258391959811258,1
Oc1cncc(c1O)c1ccc(c(c1)C=C)C=C	No_3_563,1/000000065,"InChI=1S/C15H13NO2/c1-3-10-5-6-12(7-11(10)4-2)13-8-16-9-14(17)15(13)18/h3-9,17H,1-2H2,(H,16,18)",C15H13NO2,239,2.93,4.38,5.0,12.6,-160,2.964155118299608,1
Oc1c(C#CC(=O)NCCC=C)c(ncc1O)CBr	No_2_129,1/000000393,"InChI=1S/C13H13BrN2O3/c1-2-3-6-15-12(18)5-4-9-10(7-14)16-8-11(17)13(9)19/h2,8,17H,1,3,6-7H2,(H,15,18)(H,16,19)",C13H13N2O3Br,325,1.69,4.38,7.2,19.3,0,3.5758341506251083,1
Oc1c(cccc1C(=C)N(=O)=O)Nc1cccc2c1NCC(=O)N2	No_1_336,18/000000004,"InChI=1S/C16H14N4O4/c1-9(20(23)24)10-4-2-7-13(16(10)22)18-11-5-3-6-12-15(11)17-8-14(21)19-12/h2-7,17-18,22H,1,8H2,(H,19,21)",C16H14N4O4,326,1.92,4.38,6.81,21.8,-80,3.047247499742028,1
OC[C@@H](N1C(=S)NCC1)/C=C/CCCCCN	No_4_159,29/000000010,"InChI=1S/C12H23N3OS/c13-7-5-3-1-2-4-6-11(10-16)15-9-8-14-12(15)17/h4,6,11,16H,1-3,5,7-10,13H2,(H,14,17)/b6-4+/t11-/m0/s1",C12H23N3OS,257,0.93,4.37,2.73,3.58,-150,3.7859061912214536,1
C#CCNC(=O)C#Cc1c(O)c(O)cnc1C(F)F	No_1_571,1/000000216,"InChI=1S/C12H8F2N2O3/c1-2-5-15-9(18)4-3-7-10(12(13)14)16-6-8(17)11(7)19/h1,6,12,17H,5H2,(H,15,18)(H,16,19)",C12H8N2O3F2,266,0.85,4.37,5.12,24.2,-150,3.6852896675064173,1
Oc1cc(cc(c1CO)Br)C(=O)C[C@H](CCl)N(=O)=O	No_4_160,3/000000039,"InChI=1S/C11H11BrClNO5/c12-9-1-6(2-11(17)8(9)5-15)10(16)3-7(4-13)14(18)19/h1-2,7,15,17H,3-5H2/t7-/m1/s1",C11H11NO5ClBr,352,2.11,4.37,3.6,3.85,-150,3.657823399059261,1
Oc1ccc(cc1C#Cc1csc(c1)CN)NC[C@@H](C)S	No_2_335,3/000000026,"InChI=1S/C16H18N2OS2/c1-11(20)9-18-14-4-5-16(19)13(7-14)3-2-12-6-15(8-17)21-10-12/h4-7,10-11,18-20H,8-9,17H2,1H3/t11-/m1/s1",C16H18N2OS2,318,2.93,4.37,1.95,22.6,-190,3.531684370621411,1
Oc1cc(c(c(c1)Br)CN)C(=O)C[C@H](CCl)N(=O)=O	No_4_323,3/000000046,"InChI=1S/C11H12BrClN2O4/c12-10-3-7(16)2-8(9(10)5-14)11(17)1-6(4-13)15(18)19/h2-3,6,16H,1,4-5,14H2/t6-/m1/s1",C11H12N2O4ClBr,351,2.05,4.37,2.91,5.09,-170,3.79116739905926,1
Sc1sc2c(n1)cccc2C(=O)O	No_1_200,12/000000007,"InChI=1S/C8H5NO2S2/c10-7(11)4-2-1-3-5-6(4)13-8(12)9-5/h1-3H,(H,9,12)(H,10,11)",C8H5NO2S2,211,1.56,4.36,1.0,2.22,-60,2.7088051346242104,1
Oc1cncc(c1O)C#CC(=O)Nc1cccnc1C[NH2+]C	No_2_462,1/000000532,"InChI=1S/C15H14N4O3/c1-16-8-12-11(3-2-6-18-12)19-14(21)5-4-10-7-17-9-13(20)15(10)22/h2-3,6-7,9,16,20H,8H2,1H3,(H,17,22)(H,19,21)/p+1",C15H15N4O3,299,-0.06,4.36,5.78,19.6,-20,3.830436012273606,1
OC(=O)CC/C=C/Nc1c(O)cc(c(c1)c1ncc(cc1)I)Br	No_2_206,28/000000005,"InChI=1S/C16H14BrIN2O3/c17-12-8-15(21)14(19-6-2-1-3-16(22)23)7-11(12)13-5-4-10(18)9-20-13/h2,4-9,19,21H,1,3H2,(H,22,23)/b6-2+",C16H14N2O3BrI,489,4.04,4.36,4.29,19.2,-160,2.9846169364353727,1
