SMILES,Name,InChI,Formula,MW,LogP,pKd,Structure,Synthesize,Chemical,SA_Score,SA_Score_Binary
Oc1cccc(c1)/C=C/C[C@H](c1cc(O)ccc1N)Cl,9/000000004,"InChI=1S/C16H16ClNO2/c17-15(14-10-13(20)7-8-16(14)18)6-2-4-11-3-1-5-12(19)9-11/h1-5,7-10,15,19-20H,6,18H2/b4-2+/t15-/m1/s1",C16H16NO2Cl,289,3.2,4.81,5.6,4.94,-150,3.137888097080028,1
C#CCc1c(ccc(c1N)c1cc(O)cnc1CO)/C=C\C,1/000000272,"InChI=1S/C18H18N2O2/c1-3-5-12-7-8-15(18(19)14(12)6-4-2)16-9-13(22)10-20-17(16)11-21/h2-3,5,7-10,21-22H,6,11,19H2,1H3/b5-3-",C18H18N2O2,294,1.91,4.81,7.18,17.6,-180,3.3497094858122303,1
OC(=O)c1cc(C#Cc2cncc(c2)O)c(cc1Br)F,1/000000006,"InChI=1S/C14H7BrFNO3/c15-12-5-13(16)9(4-11(12)14(19)20)2-1-8-3-10(18)7-17-6-8/h3-7,18H,(H,19,20)",C14H7NO3FBr,336,3.54,4.8,4.69,19.4,0,2.711738732454375,1
Oc1cnc(c(c1O)C#CC(=O)Nc1cncc2c1cco2)C,1/000000142,"InChI=1S/C16H11N3O4/c1-9-10(16(22)13(20)7-18-9)2-3-15(21)19-12-6-17-8-14-11(12)4-5-23-14/h4-8,20H,1H3,(H,18,22)(H,19,21)",C16H11N3O4,309,0.7,4.79,7.41,21.4,-60,3.3388827315537153,1
OC(=O)n1nc(c(c1)N(=O)=O)CCc1[nH]c2c(c1)cccc2,25/000000043,"InChI=1S/C14H12N4O4/c19-14(20)17-8-13(18(21)22)12(16-17)6-5-10-7-9-3-1-2-4-11(9)15-10/h1-4,7-8,15H,5-6H2,(H,19,20)",C14H12N4O4,300,2.43,4.79,4.76,3.98,-40,2.8755851437872533,1
Oc1c(C#CC(=O)NC2CCCC2)c(ncc1O)CCC,1/000000374,"InChI=1S/C16H20N2O3/c1-2-5-13-12(16(21)14(19)10-17-13)8-9-15(20)18-11-6-3-4-7-11/h10-11,19H,2-7H2,1H3,(H,17,21)(H,18,20)",C16H20N2O3,288,2.21,4.78,7.41,18.8,-170,3.053169044160983,1
OCC(=O)c1cc(O)c(c(c1)c1nnsc1)O,3/000000097,"InChI=1S/C10H8N2O4S/c13-3-9(15)5-1-6(7-4-17-12-11-7)10(16)8(14)2-5/h1-2,4,13-14,16H,3H2",C10H8N2O4S,252,1.74,4.78,1.93,3.58,-120,2.9426767291400644,1
Oc1cc(C(=O)/C=C/C)cc(c1O)c1ncncn1,3/000000178,"InChI=1S/C13H11N3O3/c1-2-3-10(17)8-4-9(12(19)11(18)5-8)13-15-6-14-7-16-13/h2-7,18-19H,1H3/b3-2+",C13H11N3O3,257,0.56,4.76,1.55,15.0,-200,2.9115920494751713,1
SCc1ncc(c(c1C#CC(=O)NC1CCCC1)O)O,1/000000178,"InChI=1S/C14H16N2O3S/c17-12-7-15-11(8-20)10(14(12)19)5-6-13(18)16-9-3-1-2-4-9/h7,9,17,20H,1-4,8H2,(H,15,19)(H,16,18)",C14H16N2O3S,292,1.74,4.75,7.91,20.1,-150,3.3449850261606677,1
Oc1cncc(c1CS)c1nnc(s1)CCc1ccc2c(c1)CCC2,1/000000241,"InChI=1S/C19H19N3OS2/c23-17-10-20-9-15(16(17)11-24)19-22-21-18(25-19)7-5-12-4-6-13-2-1-3-14(13)8-12/h4,6,8-10,23-24H,1-3,5,7,11H2",C19H19N3OS2,369,3.74,4.75,7.98,23.6,-120,2.9404284753758,1
Oc1cnc(c(c1O)C#CC(=O)NCCCF)CO,1/000000518,"InChI=1S/C12H13FN2O4/c13-4-1-5-14-11(18)3-2-8-9(7-16)15-6-10(17)12(8)19/h6,16-17H,1,4-5,7H2,(H,14,18)(H,15,19)",C12H13N2O4F,268,0.29,4.75,4.99,19.9,0,3.4521480559505537,1
