SMILES;Name;InChI;Formula;MW;LogP;pKd;Structure;Synthesize;Chemical
O=Nc1c2c([nH]/c(=[NH]/CCCl)/[nH]2)ccc1CC;29/000000079;InChI=1S/C11H14ClN4O/c1-2-7-3-4-8-10(9(7)16-17)15-11(14-8)13-6-5-12/h3-4,13-15H,2,5-6H2,1H3/b13-11-;C11H13N4OCl;252;1.92;4.26;4.81;16.60;-80
OC(=O)C/[NH]=c\1/[nH]c2c([nH]1)c(N=O)c(cc2)CC;29/000000117;InChI=1S/C11H13N4O3/c1-2-6-3-4-7-10(9(6)15-18)14-11(13-7)12-5-8(16)17/h3-4,12-14H,2,5H2,1H3,(H,16,17)/b12-11-;C11H12N4O3;248;0.54;4.21;3.96;18.30;-120
OC(=O)c1cc(O)c(c(c1)O)CO;29/000000058;InChI=1S/C8H8O5/c9-3-5-6(10)1-4(8(12)13)2-7(5)11/h1-2,9-11H,3H2,(H,12,13);C8H8O5;184;0.01;4.12;2.73;1.11;0
O=Nc1ccc2c(c1N(=O)=O)[nH]/c(=[NH]\CC)/[nH]2;29/000000127;InChI=1S/C9H10N5O3/c1-2-10-9-11-5-3-4-6(13-15)8(14(16)17)7(5)12-9/h3-4,10-12H,2H2,1H3/b10-9-;C9H9N5O3;235;0.99;4.18;5.19;18.90;-60
O=Nc1c2c([nH]/c(=[NH]/CCCl)/[nH]2)ccc1CC;29/000000080;InChI=1S/C11H14ClN4O/c1-2-7-3-4-8-10(9(7)16-17)15-11(14-8)13-6-5-12/h3-4,13-15H,2,5-6H2,1H3/b13-11-;C11H13N4OCl;252;1.92;4.60;5.00;16.60;-100
Oc1cc(C=S)cc2c1[nH]/c(=[NH]\CF)/[nH]2;29/000000025;InChI=1S/C9H9FN3OS/c10-4-11-9-12-6-1-5(3-15)2-7(14)8(6)13-9/h1-3,11-14H,4H2/b11-9-;C9H8N3OSF;225;0.95;4.03;0.41;17.10;-40
Oc1c(N(=O)=O)ccc2c1[nH]c(=[NH2])[nH]2;29/000000087;InChI=1S/C7H7N4O3/c8-7-9-3-1-2-4(11(13)14)6(12)5(3)10-7/h1-2,9-10,12H,8H2;C7H6N4O3;194;0.24;4.46;4.75;14.70;-40
O=Nc1ccc2c(c1N(=O)=O)[nH]/c(=[NH]\C)/[nH]2;29/000000135;InChI=1S/C8H8N5O3/c1-9-8-10-4-2-3-5(12-14)7(13(15)16)6(4)11-8/h2-3,9-11H,1H3/b9-8-;C8H7N5O3;221;0.57;4.18;5.62;18.30;-60
Oc1cc(C=S)cc2c1[nH]/c(=[NH]\CC)/[nH]2;29/000000022;InChI=1S/C10H12N3OS/c1-2-11-10-12-7-3-6(5-15)4-8(14)9(7)13-10/h3-5,11-14H,2H2,1H3/b11-10-;C10H11N3OS;221;1.10;4.04;0.33;15.00;-60
SCC[C@@H](c1cc(O)c(c(c1)O)N)S;29/000000036;InChI=1S/C9H13NO2S2/c10-9-6(11)3-5(4-7(9)12)8(14)1-2-13/h3-4,8,11-14H,1-2,10H2/t8-/m0/s1;C9H13NO2S2;231;1.66;4.08;2.42;13.00;-170
Sc1ccc2c(c1N(=O)=O)[nH]/c(=[NH]\C(F)F)/[nH]2;29/000000050;InChI=1S/C8H7F2N4O2S/c9-7(10)13-8-11-3-1-2-4(17)6(14(15)16)5(3)12-8/h1-2,7,11-13,17H/b13-8-;C8H6N4O2SF2;260;1.99;4.60;5.57;22.00;-190
Oc1cc(C(=O)Oc2ccccc2)cc(c1S)O;29/000000033;InChI=1S/C13H10O4S/c14-10-6-8(7-11(15)12(10)18)13(16)17-9-4-2-1-3-5-9/h1-7,14-15,18H;C13H10O4S;262;3.09;4.36;1.35;14.10;-40
Oc1c(N(=O)=O)ccc2c1[nH]c(=[NH2])[nH]2;29/000000088;InChI=1S/C7H7N4O3/c8-7-9-3-1-2-4(11(13)14)6(12)5(3)10-7/h1-2,9-10,12H,8H2;C7H6N4O3;194;0.24;4.39;5.16;14.70;-40
O=Nc1ccc2c(c1N(=O)=O)[nH]/c(=[NH]\CCOC(=O)C)/[nH]2;29/000000130;InChI=1S/C11H12N5O5/c1-6(17)21-5-4-12-11-13-7-2-3-8(15-18)10(16(19)20)9(7)14-11/h2-3,12-14H,4-5H2,1H3/b12-11-;C11H11N5O5;293;0.60;4.14;4.83;23.50;-120
