SMILES,Name,InChI,Formula,MW,LogP,pKd,Structure,Synthesize,Chemical,SA_Score,SA_Score_Binary
OC(=O)/C(=C\c1ccc(c(c1)N=O)C(=O)O)/C=C/N(=O)=O	No_1_46,16/000000028,"InChI=1S/C12H8N2O7/c15-11(16)8(3-4-14(20)21)5-7-1-2-9(12(17)18)10(6-7)13-19/h1-6H,(H,15,16)(H,17,18)/b4-3+,8-5-",C12H8N2O7,292,1.15,4.41,6.29,3.85,-30,3.3626900490035982,1
Oc1cc(I)c(cc1[S@@](=O)c1ccc2c(c1)c(C=S)cc(=O)o2)O	No_1_521,12/000000287,"InChI=1S/C16H9IO5S2/c17-11-5-13(19)15(6-12(11)18)24(21)9-1-2-14-10(4-9)8(7-23)3-16(20)22-14/h1-7,18-19H/t24-/m0/s1",C16H9O5S2I,472,2.06,4.41,4.79,24.2,-80,3.940375035748537,1
C#CCCc1c(O)ccc(c1)[S@](=O)c1cc(O)c(cc1O)I	No_1_189,12/000000126,"InChI=1S/C16H13IO4S/c1-2-3-4-10-7-11(5-6-13(10)18)22(21)16-9-14(19)12(17)8-15(16)20/h1,5-9,18-20H,3-4H2/t22-/m0/s1",C16H13O4SI,428,2.52,4.4,3.46,19.7,0,3.7990433511830375,1
OC(=O)/C(=C(/CO)\c1ccc(cc1O)C(=O)O)/C=C/N(=O)=O	No_1_728,16/000000036,"InChI=1S/C13H11NO8/c15-6-10(9(13(19)20)3-4-14(21)22)8-2-1-7(12(17)18)5-11(8)16/h1-5,15-16H,6H2,(H,17,18)(H,19,20)/b4-3+,10-9-",C13H11NO8,309,0.31,4.39,7.42,3.58,-60,3.1613779990965707,1
OC(=O)c1c2c(c(cc1CCNCN)O)CCC2	No_3_241,12/000000026,"InChI=1S/C13H18N2O3/c14-7-15-5-4-8-6-11(16)9-2-1-3-10(9)12(8)13(17)18/h6,15-16H,1-5,7,14H2,(H,17,18)",C13H18N2O3,250,0.52,4.39,3.57,14.4,-80,2.8194877336842232,1
Sc1c(/C=C/C=C)ccc(c1c1cc(O)c(c(c1)O)CS)C(=O)O	No_3_79,10/000000073,"InChI=1S/C18H16O4S2/c1-2-3-4-10-5-6-12(18(21)22)16(17(10)24)11-7-14(19)13(9-23)15(20)8-11/h2-8,19-20,23-24H,1,9H2,(H,21,22)/b4-3+",C18H15O4S2,359,3.86,4.39,6.09,21.6,-180,3.3609281886054037,1
OCc1c(C(=O)c2nn(cc2Br)C(=O)O)c[nH]c1	No_4_442,3/000000030,"InChI=1S/C10H8BrN3O4/c11-7-3-14(10(17)18)13-8(7)9(16)6-2-12-1-5(6)4-15/h1-3,12,15H,4H2,(H,17,18)",C10H7N3O4Br,313,-0.3,4.38,7.66,2.22,0,3.445340386745447,1
Sc1c(/C=C\N)cc(cc1N(=O)=O)N(=O)=O	No_3_246,10/000000080,"InChI=1S/C8H7N3O4S/c9-2-1-5-3-6(10(12)13)4-7(8(5)16)11(14)15/h1-4,16H,9H2/b2-1-",C8H7N3O4S,241,1.95,4.38,4.93,2.61,0,3.295929794029651,1
Oc1c(C#Cc2ccccc2)c(ncc1CC(=C)C)CO	No_5_232,20/000000010,"InChI=1S/C18H17NO2/c1-13(2)10-15-11-19-17(12-20)16(18(15)21)9-8-14-6-4-3-5-7-14/h3-7,11,20H,1,10,12H2,2H3,(H,19,21)",C18H17NO2,279,2.75,4.37,2.31,16.2,-80,2.9006571797542033,1
OC(=O)/C(=C\c1ccc(c(c1)F)C(=O)O)/C=C/N(=O)=O	No_1_14,16/000000008,"InChI=1S/C12H8FNO6/c13-10-6-7(1-2-9(10)12(17)18)5-8(11(15)16)3-4-14(19)20/h1-6H,(H,15,16)(H,17,18)/b4-3+,8-5-",C12H8NO6F,281,1.77,4.37,5.26,3.58,0,2.9832072322564596,1
