SMILES,Name,InChI,Formula,MW,LogP,pKd,Structure,Synthesize,Chemical
OC(=O)c1ccc(c(c1c1ccc(cc1)C)S)CO	No_2_427,10/000000006,"InChI=1S/C15H14O3S/c1-9-2-4-10(5-3-9)13-12(15(17)18)7-6-11(8-16)14(13)19/h2-7,16,19H,8H2,1H3,(H,17,18)",C15H14O3S,274,3.37,4.53,5.26,14.1,-180
OC(=O)c1cc(cc(c1Cl)CCc1cc(O)c(c(c1)F)O)CO	No_5_13,11/000000030,"InChI=1S/C16H14ClFO5/c17-14-10(3-9(7-19)4-11(14)16(22)23)2-1-8-5-12(18)15(21)13(20)6-8/h3-6,19-21H,1-2,7H2,(H,22,23)",C16H14O5FCl,340,2.72,4.53,5.24,3.7,0
O=Nc1c2c([nH]/c(=[NH]/CC)/[nH]2)ccc1CC	No_5_194,29/000000108,"InChI=1S/C11H15N4O/c1-3-7-5-6-8-10(9(7)15-16)14-11(13-8)12-4-2/h5-6,12-14H,3-4H2,1-2H3/b12-11-",C11H14N4O,218,1.58,4.53,4.84,14.9,-120
OC/C=C\Cc1ccc(c(c1I)O)SS	No_1_748,24/000000087,"InChI=1S/C10H11IO2S2/c11-9-7(3-1-2-6-12)4-5-8(15-14)10(9)13/h1-2,4-5,12-14H,3,6H2/b2-1-",C10H11O2S2I,354,3.25,4.53,4.33,2.22,0
Oc1cc(/C=C/C(=O)OC)c(c(c1)n1nc(c(c1)Br)CN)CO	No_3_308,12/000000027,"InChI=1S/C15H16BrN3O4/c1-23-15(22)3-2-9-4-10(21)5-14(11(9)8-20)19-7-12(16)13(6-17)18-19/h2-5,7,20-21H,6,8,17H2,1H3/b3-2+",C15H16N3O4Br,382,0.91,4.52,3.13,23.5,-200
Oc1cc(c2nnco2)cc(c1)CCCCN1C(=N)CCC1	No_5_277,27/000000012,"InChI=1S/C16H20N4O2/c17-15-5-3-7-20(15)6-2-1-4-12-8-13(10-14(21)9-12)16-19-18-11-22-16/h8-11,17,21H,1-7H2/b17-15-",C16H20N4O2,300,3.97,4.52,2.68,21.1,-120
Oc1cc(I)c(cc1[C@H](C1=CCON1)O)O	No_2_325,12/000000045,"InChI=1S/C10H10INO4/c11-6-4-8(13)5(3-9(6)14)10(15)7-1-2-16-12-7/h1,3-4,10,12-15H,2H2/t10-/m1/s1",C10H10NO4I,335,1.62,4.52,2.04,2.22,-150
Oc1cc(cc(c1CCl)F)c1[nH]c(nc1CO)CO	No_5_6,10/000000056,"InChI=1S/C12H12ClFN2O3/c13-3-7-8(14)1-6(2-10(7)19)12-9(4-17)15-11(5-18)16-12/h1-2,17-19H,3-5H2,(H,15,16)",C12H12N2O3FCl,286,0.85,4.52,6.73,2.35,-120
OC(=O)CC/[NH]=c\1/[nH]c2c([nH]1)c(N=O)c(cc2)CC	No_5_343,29/000000149,"InChI=1S/C12H15N4O3/c1-2-7-3-4-8-11(10(7)16-19)15-12(14-8)13-6-5-9(17)18/h3-4,13-15H,2,5-6H2,1H3,(H,17,18)/b13-12-",C12H14N4O3,262,0.7,4.52,5.38,18.9,-120
O=Nc1c2c([nH]/c(=[NH]/C/C=C/C)/[nH]2)ccc1CC	No_5_269,29/000000133,"InChI=1S/C13H17N4O/c1-3-5-8-14-13-15-10-7-6-9(4-2)11(17-18)12(10)16-13/h3,5-7,14-16H,4,8H2,1-2H3/b5-3+,14-13-",C13H16N4O,244,2.09,4.51,5.68,17.1,-160
Oc1c(I)cc(c(c1)[S@@](=O)c1cccc(c1)O)O	No_1_28,12/000000050,"InChI=1S/C12H9IO4S/c13-9-5-11(16)12(6-10(9)15)18(17)8-3-1-2-7(14)4-8/h1-6,14-16H/t18-/m0/s1",C12H9O4SI,376,2.04,4.51,2.79,14.5,0
OC[C@@H](/C=C\1/Oc2c(C1=O)c(O)c(cc2)ON)S	No_3_76,1/000000009,"InChI=1S/C11H11NO5S/c12-17-7-2-1-6-9(10(7)14)11(15)8(16-6)3-5(18)4-13/h1-3,5,13-14,18H,4,12H2/b8-3+/t5-/m1/s1",C11H11NO5S,269,-0.32,4.51,4.22,3.58,-190
OC(=O)/C(=C\c1ccc(cc1)C(=O)O)/C=C(\C)/N(=O)=O	No_1_9,16/000000007,"InChI=1S/C13H11NO6/c1-8(14(19)20)6-11(13(17)18)7-9-2-4-10(5-3-9)12(15)16/h2-7H,1H3,(H,15,16)(H,17,18)/b8-6+,11-7-",C13H11NO6,277,2.16,4.51,6.5,3.58,-20
Oc1c(I)cc(c(c1)[S@@](=O)c1cc(OC)c2c(c1)SCC(=O)N2)O	No_1_419,12/000000242,"InChI=1S/C15H12INO5S2/c1-22-11-2-7(3-12-15(11)17-14(20)6-23-12)24(21)13-5-9(18)8(16)4-10(13)19/h2-5,18-19H,6H2,1H3,(H,17,20)/t24-/m0/s1",C15H12NO5S2I,477,1.55,4.51,5.82,22.8,-100
O=Nc1c2c([nH]/c(=[NH]/CCC(=O)C)/[nH]2)ccc1CC	No_5_156,29/000000105,"InChI=1S/C13H17N4O2/c1-3-9-4-5-10-12(11(9)17-19)16-13(15-10)14-7-6-8(2)18/h4-5,14-16H,3,6-7H2,1-2H3/b14-13-",C13H16N4O2,260,0.96,4.51,4.9,18.3,-180
