SMILES;Name;InChI;Formula;MW;LogP;pKd;Structure;Synthesize;Chemical
OC(=O)CC#Cc1cccc(c1)[C@@H](C(=O)O)Br	No_4_112;19/000000013;InChI=1S/C12H9BrO4/c13-11(12(16)17)9-5-1-3-8(7-9)4-2-6-10(14)15/h1,3,5,7,11H,6H2,(H,14,15)(H,16,17)/t11-/m0/s1;C12H9O4Br;297;2.07;4.03;5.52;4.81;-150
OC(=O)CC#Cc1cccc(c1)[C@@H](c1[nH]c(=O)[nH]c1)Br	No_4_201;19/000000017;InChI=1S/C14H11BrN2O3/c15-13(11-8-16-14(20)17-11)10-5-1-3-9(7-10)4-2-6-12(18)19/h1,3,5,7-8,13H,6H2,(H,18,19)(H2,16,17,20)/t13-/m0/s1;C14H11N2O3Br;335;1.80;4.26;7.91;21.50;-150
Oc1cc(C#Cc2ccccc2)cc(c1)C(=O)NCC(=O)C	No_4_49;19/000000010;InChI=1S/C18H15NO3/c1-13(20)12-19-18(22)16-9-15(10-17(21)11-16)8-7-14-5-3-2-4-6-14/h2-6,9-11,21H,12H2,1H3,(H,19,22);C18H15NO3;293;3.27;4.85;1.72;3.58;-80
OCC1=CCC=C(O1)C(=O)NCCC(=O)C	No_2_623;20/000000043;InChI=1S/C11H15NO4/c1-8(14)5-6-12-11(15)10-4-2-3-9(7-13)16-10/h3-4,13H,2,5-7H2,1H3,(H,12,15);C11H15NO4;225;-0.39;4.00;0.82;5.09;-80
OC(=O)[C@H](c1nn[nH]c1)C#Cc1c[nH]cc1	No_4_656;20/000000115;InChI=1S/C10H8N4O2/c15-10(16)8(9-6-12-14-13-9)2-1-7-3-4-11-5-7/h3-6,8,11H,(H,15,16)(H,12,13,14)/t8-/m0/s1;C10H8N4O2;216;0.58;4.10;1.53;2.35;-150
OC(=O)[C@@H](CO)Oc1ccccc1CC	No_5_35;20/000000062;InChI=1S/C11H14O4/c1-2-8-5-3-4-6-9(8)15-10(7-12)11(13)14/h3-6,10,12H,2,7H2,1H3,(H,13,14)/t10-/m1/s1;C11H14O4;210;1.19;4.02;8.15;2.22;-170
OC(=O)[C@H](c1nn[nH]c1)C#Cc1c[nH]cc1	No_4_655;20/000000114;InChI=1S/C10H8N4O2/c15-10(16)8(9-6-12-14-13-9)2-1-7-3-4-11-5-7/h3-6,8,11H,(H,15,16)(H,12,13,14)/t8-/m0/s1;C10H8N4O2;216;0.58;4.23;1.92;2.35;-150
OC(=O)[C@@H](c1[nH]ncc1)C#CCN(CC)CO	No_4_481;20/000000103;InChI=1S/C11H15N3O3/c1-2-14(8-15)7-3-4-9(11(16)17)10-5-6-12-13-10/h5-6,9,15H,2,7-8H2,1H3,(H,12,13)(H,16,17)/t9-/m1/s1;C11H15N3O3;237;0.22;4.35;2.11;3.58;-190
OCC1=CCC=C(O1)C(=O)NCC	No_3_37;20/000000124;InChI=1S/C9H13NO3/c1-2-10-9(12)8-5-3-4-7(6-11)13-8/h4-5,11H,2-3,6H2,1H3,(H,10,12);C9H13NO3;183;0.22;4.30;2.05;3.58;-20
OCC1=CCC=C(O1)C(=O)N[C@H](C)c1ncn[nH]1	No_3_658;20/000000155;InChI=1S/C11H14N4O3/c1-7(10-12-6-13-15-10)14-11(17)9-4-2-3-8(5-16)18-9/h3-4,6-7,16H,2,5H2,1H3,(H,14,17)(H,12,13,15)/t7-/m1/s1;C11H14N4O3;250;-0.04;4.57;2.09;3.58;-190
