SMILES,Name,InChI,Formula,MW,LogP,pKd,Structure,Synthesize,Chemical,SA_Score,SA_Score_Binary
C1=C(CNC1=O)[C@H](C)C#Cc1ccc(cc1Br)C(=O)O,26/000000006,"InChI=1S/C15H12BrNO3/c1-9(12-7-14(18)17-8-12)2-3-10-4-5-11(15(19)20)6-13(10)16/h4-7,9H,8H2,1H3,(H,17,18)(H,19,20)/t9-/m1/s1",C15H11NO3Br,333,2.0,4.4,4.55,20.7,-170,3.749957327849259,1
O[C@@H](CCCCc1cc(F)cc(c1)NC(=O)N)c1nnco1,4/000000011,"InChI=1S/C14H17FN4O3/c15-10-5-9(6-11(7-10)18-14(16)21)3-1-2-4-12(20)13-19-17-8-22-13/h5-8,12,20H,1-4H2,(H3,16,18,21)/t12-/m0/s1",C14H17N4O3F,308,1.72,4.4,8.89,5.09,-150,3.165205584433658,1
NC(=[NH2])Nc1cncc(c1)Nc1nc(ncc1)N[C@@H]1C(=O)CCC1,12/000000019,"InChI=1S/C15H19N8O/c16-14(17)21-10-6-9(7-18-8-10)20-13-4-5-19-15(23-13)22-11-2-1-3-12(11)24/h4-8,11,21H,1-3,16-17H2,(H2,19,20,22,23)/t11-/m0/s1",C15H18N8O,326,-0.29,4.4,6.14,20.9,-150,,0
OC(=O)CC#Cc1ccc(c2c1[nH]cn2)NC(=O)CCl,12/000000038,"InChI=1S/C13H10ClN3O3/c14-6-10(18)17-9-5-4-8(2-1-3-11(19)20)12-13(9)16-7-15-12/h4-5,7H,3,6H2,(H,15,16)(H,17,18)(H,19,20)",C13H10N3O3Cl,291,0.9,4.39,5.39,22.0,-40,3.0291938173694595,1
OC(=O)CC#Cc1ccc(c2c1[nH]cn2)CNC(=O)C,12/000000045,"InChI=1S/C14H13N3O3/c1-9(18)15-7-11-6-5-10(3-2-4-12(19)20)13-14(11)17-8-16-13/h5-6,8H,4,7H2,1H3,(H,15,18)(H,16,17)(H,19,20)",C14H13N3O3,271,0.8,4.39,4.78,20.9,-60,3.0054550811057235,1
OCc1cc(c([nH]1)CF)c1cnc([nH]1)C(=O)C/C=C/C,4/000000344,"InChI=1S/C14H16FN3O2/c1-2-3-4-13(20)14-16-7-12(18-14)10-5-9(8-19)17-11(10)6-15/h2-3,5,7,17,19H,4,6,8H2,1H3,(H,16,18)/b3-2+",C14H16N3O2F,277,0.76,4.39,3.97,24.7,-120,3.6852146964903385,1
OC(=O)CC1=CCC(=C1)[C@H](/C=C/c1ccc(c(c1)Cl)O)N,5/000000010,"InChI=1S/C16H16ClNO3/c17-13-8-10(3-6-15(13)19)2-5-14(18)12-4-1-11(7-12)9-16(20)21/h1-3,5-8,14,19H,4,9,18H2,(H,20,21)/b5-2+/t14-/m0/s1",C16H16NO3Cl,305,1.5,4.38,1.37,4.81,-170,3.7070904579297776,1
O=C(Nc1cc(cc(c1)CCC/C=C/Nc1cnccc1)CCl)N,4/000000310,"InChI=1S/C18H21ClN4O/c19-12-15-9-14(10-17(11-15)23-18(20)24)5-2-1-3-8-22-16-6-4-7-21-13-16/h3-4,6-11,13,22H,1-2,5,12H2,(H3,20,23,24)/b8-3+",C18H21N4OCl,344,2.08,4.37,6.0,6.58,0,2.6983210983043993,1
OC(=O)Cc1ccc(c(c1)NC(=O)N)F,4/000000244,"InChI=1S/C9H9FN2O3/c10-6-2-1-5(4-8(13)14)3-7(6)12-9(11)15/h1-3H,4H2,(H,13,14)(H3,11,12,15)",C9H9N2O3F,212,-0.01,4.36,3.71,3.58,0,1.911986964957764,1
OCCc1c[nH]nc1/C=C/[C@@H](C1=CCNN1)N,16/000000014,"InChI=1S/C11H17N5O/c12-9(11-3-5-13-16-11)1-2-10-8(4-6-17)7-14-15-10/h1-3,7,9,13,16-17H,4-6,12H2,(H,14,15)/b2-1+/t9-/m0/s1",C11H17N5O,235,0.07,4.36,4.54,3.58,-150,4.906182839573102,0
[NH2]=C1NCC(=CN1)c1cncc(c1)CCCCCCCCCC,23/000000011,"InChI=1S/C19H31N4/c1-2-3-4-5-6-7-8-9-10-16-11-17(13-21-12-16)18-14-22-19(20)23-15-18/h11-14,22-23H,2-10,15,20H2,1H3",C19H30N4,314,2.97,4.36,0.4,17.7,-200,,0
[NH2]=C1NCC(=CN1)c1nonc1CC/C=C/CCCCCl,23/000000028,"InChI=1S/C14H21ClN5O/c15-8-6-4-2-1-3-5-7-12-13(20-21-19-12)11-9-17-14(16)18-10-11/h1,3,9,17-18H,2,4-8,10,16H2/b3-1+",C14H20N5OCl,309,2.26,4.36,2.87,24.6,-140,,0
OCCNC(=O)C1=C[C@H](C=C(O1)CO)CC=C,20/000000143,"InChI=1S/C12H17NO4/c1-2-3-9-6-10(8-15)17-11(7-9)12(16)13-4-5-14/h2,6-7,9,14-15H,1,3-5,8H2,(H,13,16)/t9-/m0/s1",C12H17NO4,239,-0.34,4.36,3.48,17.4,-150,4.083502876982502,0
OC/C=C(/c1n[nH]nc1[C@@H](C)F)\c1nc(cnc1)NCCl,29/000000068,"InChI=1S/C12H14ClFN6O/c1-7(14)11-12(19-20-18-11)8(2-3-21)9-4-15-5-10(17-9)16-6-13/h2,4-5,7,21H,3,6H2,1H3,(H,16,17)(H,18,19,20)/b8-2+/t7-/m1/s1",C12H14N6OFCl,312,1.63,4.36,4.36,24.2,-170,4.247837956019064,0
OC(=O)C(=C)c1ccc(c(c1)Br)CN[C@@H]1C=NOC1,17/000000001,"InChI=1S/C13H13BrN2O3/c1-8(13(17)18)9-2-3-10(12(14)4-9)5-15-11-6-16-19-7-11/h2-4,6,11,15H,1,5,7H2,(H,17,18)/t11-/m1/s1",C13H13N2O3Br,325,2.91,4.35,7.0,3.58,-150,3.7921784295382155,1
OC(=O)[C@@H](c1[nH]ncc1)C#CCN(CC)CO,20/000000103,"InChI=1S/C11H15N3O3/c1-2-14(8-15)7-3-4-9(11(16)17)10-5-6-12-13-10/h5-6,9,15H,2,7-8H2,1H3,(H,12,13)(H,16,17)/t9-/m1/s1",C11H15N3O3,237,0.22,4.35,2.11,3.58,-190,3.994510405624072,1
OCc1cc(c([nH]1)CN)c1cnc([nH]1)CCCCc1ccccc1,4/000000196,"InChI=1S/C19H24N4O/c20-11-17-16(10-15(13-24)22-17)18-12-21-19(23-18)9-5-4-8-14-6-2-1-3-7-14/h1-3,6-7,10,12,22,24H,4-5,8-9,11,13,20H2,(H,21,23)",C19H24N4O,324,1.61,4.35,4.1,21.5,-100,2.774189507286721,1
Oc1ccc(cc1Cl)C/C(=C/[C@H]1OC(=O)CC1)/c1nnc[nH]1,6/000000054,"InChI=1S/C15H14ClN3O3/c16-12-6-9(1-3-13(12)20)5-10(15-17-8-18-19-15)7-11-2-4-14(21)22-11/h1,3,6-8,11,20H,2,4-5H2,(H,17,18,19)/b10-7-/t11-/m0/s1",C15H14N3O3Cl,319,3.56,4.35,8.38,5.09,-150,3.8589934610731493,1
Oc1ccc(cc1c1oc(cc1)/C(=C\CO)/c1n[nH]nc1)Cl,29/000000054,"InChI=1S/C15H12ClN3O3/c16-9-1-2-13(21)11(7-9)15-4-3-14(22-15)10(5-6-20)12-8-17-19-18-12/h1-5,7-8,20-21H,6H2,(H,17,18,19)/b10-5-",C15H12N3O3Cl,317,3.59,4.35,4.87,24.3,-120,3.022433247296645,1
OC(=O)c1ccn(c1C#CCO)CCCl,6/000000016,"InChI=1S/C10H10ClNO3/c11-4-6-12-5-3-8(10(14)15)9(12)2-1-7-13/h3,5,13H,4,6-7H2,(H,14,15)",C10H10NO3Cl,227,1.28,4.34,6.38,3.85,0,3.182032180717613,1
OC(=O)c1n[nH]nc1/C(=C/C)/c1cccc(c1Cl)Cl,29/000000060,"InChI=1S/C12H9Cl2N3O2/c1-2-6(7-4-3-5-8(13)9(7)14)10-11(12(18)19)16-17-15-10/h2-5H,1H3,(H,18,19)(H,15,16,17)/b6-2+",C12H9N3O2Cl2,297,4.54,4.34,4.03,3.58,-20,2.9455013103884227,1
C=C[C@H](CCc1ccc(cc1)OCNCC)n1nnc(c1)CN,23/000000043,"InChI=1S/C17H25N5O/c1-3-16(22-12-15(11-18)20-21-22)8-5-14-6-9-17(10-7-14)23-13-19-4-2/h3,6-7,9-10,12,16,19H,1,4-5,8,11,13,18H2,2H3/t16-/m1/s1",C17H25N5O,315,2.07,4.34,2.35,6.45,-190,3.425258228508577,1
OCc1cc(C#Cc2ccccc2)cc(c1)C(=O)N,19/000000026,"InChI=1S/C16H13NO2/c17-16(19)15-9-13(8-14(10-15)11-18)7-6-12-4-2-1-3-5-12/h1-5,8-10,18H,11H2,(H2,17,19)",C16H13NO2,251,2.7,4.33,3.09,2.22,0,2.146697661473235,1
Oc1ccc(cc1Cl)C/C(=C/[C@H]1OC(=O)CC1)/c1nc[nH]c1,6/000000001,"InChI=1S/C16H15ClN2O3/c17-13-6-10(1-3-15(13)20)5-11(14-8-18-9-19-14)7-12-2-4-16(21)22-12/h1,3,6-9,12,20H,2,4-5H2,(H,18,19)/b11-7-/t12-/m0/s1",C16H15N2O3Cl,318,2.79,4.33,8.9,5.09,-150,3.7540286259083127,1
O=C(Nc1cc(cc(c1)CN)/C=C/C[NH2+][C@H]1CC=CC1)N,4/000000309,"InChI=1S/C16H22N4O/c17-11-13-8-12(9-15(10-13)20-16(18)21)4-3-7-19-14-5-1-2-6-14/h1-4,8-10,14,19H,5-7,11,17H2,(H3,18,20,21)/p+1/b4-3+",C16H23N4O,287,0.38,4.33,3.51,5.09,-150,3.7235120819706307,1
Oc1cccc(c1)/C(=C\c1nonc1)/[C@H](N)O,16/000000009,"InChI=1S/C11H11N3O3/c12-11(16)10(5-8-6-13-17-14-8)7-2-1-3-9(15)4-7/h1-6,11,15-16H,12H2/b10-5+/t11-/m1/s1",C11H11N3O3,233,1.4,4.32,6.11,3.58,-150,3.8586129219906837,1
OCC1=CCC=C(O1)C(=O)NC(/C=C/CN)(F)F,20/000000146,"InChI=1S/C11H14F2N2O3/c12-11(13,5-2-6-14)15-10(17)9-4-1-3-8(7-16)18-9/h2-5,16H,1,6-7,14H2,(H,15,17)/b5-2+",C11H14N2O3F2,260,-0.05,4.32,2.7,3.58,-170,4.219411030387519,0
c1oc2c(n1)cccc2Nc1ccc2c(c1)[nH]c(cc2=O)CC,25/000000005,"InChI=1S/C18H15N3O2/c1-2-11-9-17(22)13-7-6-12(8-16(13)20-11)21-15-5-3-4-14-18(15)23-10-19-14/h3-10,21H,2H2,1H3,(H,20,22)",C18H15N3O2,305,2.67,4.32,6.42,19.8,-100,2.673139084110458,1
