SMILES;Name;InChI;Formula;MW;LogP;pKd;Structure;Synthesize;Chemical
Sc1nnc([nH]1)/C=C/C1=C(C(=O)C1=O)/C=C/[C@H](C)Cl	No_1_540;1/000000001;InChI=1S/C12H10ClN3O2S/c1-6(13)2-3-7-8(11(18)10(7)17)4-5-9-14-12(19)16-15-9/h2-6H,1H3,(H2,14,15,16,19)/b3-2+,5-4+/t6-/m0/s1;C12H10N3O2SCl;295;2.33;4.02;3.36;3.58;-190
ON[C@@H](c1ncc([nH]1)C(=O)O)C#CC=C	No_2_692;3/000000331;InChI=1S/C9H9N3O3/c1-2-3-4-6(12-15)8-10-5-7(11-8)9(13)14/h2,5-6,12,15H,1H2,(H,10,11)(H,13,14)/t6-/m1/s1;C9H9N3O3;207;-0.13;4.04;1.66;19.70;-150
OC(=O)c1cc2c([nH]1)c(=O)[nH]cc2CNOCC=C	No_3_144;3/000000008;InChI=1S/C12H13N3O4/c1-2-3-19-14-6-7-5-13-11(16)10-8(7)4-9(15-10)12(17)18/h2,4-5,14-15H,1,3,6H2,(H,13,16)(H,17,18);C12H13N3O4;263;0.50;4.21;6.47;22.60;-40
OC(=O)c1oc(c(n1)CN)[C@H](C#CCCC)S	No_3_264;3/000000066;InChI=1S/C11H14N2O3S/c1-2-3-4-5-8(17)9-7(6-12)13-10(16-9)11(14)15/h8,17H,2-3,6,12H2,1H3,(H,14,15)/t8-/m0/s1;C11H14N2O3S;254;0.35;4.06;7.41;21.90;-170
OC(=O)c1oc(c(n1)CN)C/C=C/[C@H](C=C)c1sccn1	No_3_634;3/000000140;InChI=1S/C14H15N3O3S/c1-2-9(13-16-6-7-21-13)4-3-5-11-10(8-15)17-12(20-11)14(18)19/h2-4,6-7,9H,1,5,8,15H2,(H,18,19)/b4-3+/t9-/m0/s1;C14H15N3O3S;305;0.21;4.10;6.08;5.21;-150
OC(=O)c1nc(c(o1)C/C=C/[C@@H](N1N=CCC1=O)C=C)CN	No_3_518;3/000000132;InChI=1S/C14H16N4O4/c1-2-9(18-12(19)6-7-16-18)4-3-5-11-10(8-15)17-13(22-11)14(20)21/h2-4,7,9H,1,5-6,8,15H2,(H,20,21)/b4-3+/t9-/m0/s1;C14H16N4O4;304;-0.08;4.16;7.20;6.72;-150
OC(=O)c1cc(O)cc(c1)CCC/C=C(/CN)\C#CCC	No_5_340;3/000000193;InChI=1S/C17H21NO3/c1-2-3-6-13(12-18)7-4-5-8-14-9-15(17(20)21)11-16(19)10-14/h7,9-11,19H,2,4-5,8,12,18H2,1H3,(H,20,21)/b13-7+;C17H21NO3;287;2.35;4.17;2.95;5.21;-50
OCc1nc(oc1C/C=C/c1nnc[nH]1)C(=O)O	No_4_550;3/000000301;InChI=1S/C10H10N4O4/c15-4-6-7(18-9(13-6)10(16)17)2-1-3-8-11-5-12-14-8/h1,3,5,15H,2,4H2,(H,16,17)(H,11,12,14)/b3-1+;C10H10N4O4;250;0.40;4.19;2.44;3.85;0
OC(=O)c1oc(c(n1)CO)CC#C/C(=C\CO)/CCC	No_4_564;3/000000302;InChI=1S/C14H17NO5/c1-2-4-10(7-8-16)5-3-6-12-11(9-17)15-13(20-12)14(18)19/h7,16-17H,2,4,6,8-9H2,1H3,(H,18,19)/b10-7-;C14H17NO5;279;0.02;4.55;6.48;23.20;-170
Oc1ccc(c(c1F)CCc1ccc(c(c1)/C=C\CO)CO)F	No_3_409;3/000000322;InChI=1S/C18H18F2O3/c19-16-7-8-17(23)18(20)15(16)6-4-12-3-5-14(11-22)13(10-12)2-1-9-21/h1-3,5,7-8,10,21-23H,4,6,9,11H2/b2-1-;C18H18O3F2;320;2.84;4.44;7.78;3.84;0
OC(=O)c1cc(O)cc(c1)CCC/C=C\C#CCC	No_4_373;3/000000045;InChI=1S/C16H18O3/c1-2-3-4-5-6-7-8-9-13-10-14(16(18)19)12-15(17)11-13/h5-6,10-12,17H,2,7-9H2,1H3,(H,18,19)/b6-5-;C16H18O3;258;3.31;4.06;1.02;3.85;-20
