SMILES,Name,InChI,Formula,MW,LogP,pKd,Structure,Synthesize,Chemical
S[C@@H](C/C=C/C/C=C/C)c1cc(C(=O)N=O)cc(c1Br)N,12/000000355,"InChI=1S/C15H17BrN2O2S/c1-2-3-4-5-6-7-13(21)11-8-10(15(19)18-20)9-12(17)14(11)16/h2-3,5-6,8-9,13,21H,4,7,17H2,1H3/b3-2+,6-5+/t13-/m0/s1",C15H17N2O2SBr,369.0,3.64,4.6,4.69,21.8,-200.0
OC(=O)c1cc(ON)c(c(c1)CCNCCc1ncccc1)Br,12/000001234,"InChI=1S/C16H18BrN3O3/c17-15-11(9-12(16(21)22)10-14(15)23-18)4-7-19-8-5-13-3-1-2-6-20-13/h1-3,6,9-10,19H,4-5,7-8,18H2,(H,21,22)",C16H18N3O3Br,380.0,1.35,4.6,5.18,3.84,0.0
Oc1cc(cc(c1)CCCCCCCC)N1C(=O)NCC1,28/000000487,"InChI=1S/C17H26N2O2/c1-2-3-4-5-6-7-8-14-11-15(13-16(20)12-14)19-10-9-18-17(19)21/h11-13,20H,2-10H2,1H3,(H,18,21)",C17H26N2O2,290.0,3.07,4.6,2.96,15.6,-140.0
Oc1c(F)cc(c(c1)c1c[nH]c(c1)C=C)N=O,6/000000090,"InChI=1S/C12H9FN2O2/c1-2-8-3-7(6-14-8)9-4-12(16)10(13)5-11(9)15-17/h2-6,14,16H,1H2",C12H9N2O2F,232.0,2.5,4.6,2.88,18.9,-140.0
OC(=O)c1cc(OCC=C)c(c(c1)ON)Br,12/000001158,"InChI=1S/C10H10BrNO4/c1-2-3-15-7-4-6(10(13)14)5-8(16-12)9(7)11/h2,4-5H,1,3,12H2,(H,13,14)",C10H10NO4Br,288.0,1.5,4.6,4.67,14.7,0.0
Oc1cc(cc(c1)CCCCCC#CC)N1C(=O)NCC1,28/000000087,"InChI=1S/C17H22N2O2/c1-2-3-4-5-6-7-8-14-11-15(13-16(20)12-14)19-10-9-18-17(19)21/h11-13,20H,4-10H2,1H3,(H,18,21)",C17H22N2O2,286.0,2.39,4.59,0.36,18.4,-140.0
OC(=O)c1cc(ON)c(c(c1)I)Br,12/000001106,"InChI=1S/C7H5BrINO3/c8-6-4(9)1-3(7(11)12)2-5(6)13-10/h1-2H,10H2,(H,11,12)",C7H5NO3BrI,358.0,2.04,4.59,5.02,12.4,0.0
O=NC(=O)c1cc(c(c(c1)O)Br)CCC#CC[NH2+]C,12/000000863,"InChI=1S/C13H13BrN2O3/c1-15-6-4-2-3-5-9-7-10(13(18)16-19)8-11(17)12(9)14/h7-8,15,17H,3,5-6H2,1H3/p+1",C13H14N2O3Br,326.0,2.13,4.59,3.39,3.85,-20.0
C#CCN[C@@H](Cc1cc(C(=O)N=O)cc(c1Br)CO)Cl,12/000000773,"InChI=1S/C13H12BrClN2O3/c1-2-3-16-11(15)6-8-4-9(13(19)17-20)5-10(7-18)12(8)14/h1,4-5,11,16,18H,3,6-7H2/t11-/m0/s1",C13H12N2O3ClBr,359.0,1.95,4.59,6.55,21.8,-150.0
OC(=O)Cc1nc([nH]n1)c1nc(c(cc1I)CCl)CCS,4/000000231,"InChI=1S/C12H12ClIN4O2S/c13-5-6-3-7(14)11(15-8(6)1-2-21)12-16-9(17-18-12)4-10(19)20/h3,21H,1-2,4-5H2,(H,19,20)(H,16,17,18)",C12H12N4O2SClI,438.0,2.82,4.59,6.65,23.4,-120.0
Oc1cc(cc(c1C)C#CCCNC(=O)N)N1C(=O)NCC1,28/000000479,"InChI=1S/C15H18N4O3/c1-10-11(4-2-3-5-17-14(16)21)8-12(9-13(10)20)19-7-6-18-15(19)22/h8-9,20H,3,5-7H2,1H3,(H,18,22)(H3,16,17,21)",C15H18N4O3,302.0,0.01,4.59,2.83,22.2,-140.0
c1cc(I)c(cc1C1=C(C(=O)C=C(C1=O)CN)CN)CN,10/000000149,"InChI=1S/C15H16IN3O2/c16-12-2-1-8(3-9(12)5-17)14-11(7-19)13(20)4-10(6-18)15(14)21/h1-4H,5-7,17-19H2",C15H16N3O2I,397.0,-0.1,4.59,6.58,5.09,-160.0
ONCC(=O)c1cc(N=O)c(cc1N=O)Br,12/000000393,"InChI=1S/C8H6BrN3O4/c9-5-2-6(11-15)4(1-7(5)12-16)8(13)3-10-14/h1-2,10,14H,3H2",C8H6N3O4Br,288.0,0.97,4.59,5.03,2.48,0.0
Oc1ccc(c(c1CC[C@@H](CCO)C(=O)CCO)Cl)Cl,19/000000031,"InChI=1S/C14H18Cl2O4/c15-11-3-4-13(20)10(14(11)16)2-1-9(5-7-17)12(19)6-8-18/h3-4,9,17-18,20H,1-2,5-8H2/t9-/m0/s1",C14H18O4Cl2,320.0,1.72,4.59,4.73,5.09,-150.0
O=NC(=O)c1cc(c(c(c1)CO)Br)CNCCS,12/000000154,"InChI=1S/C11H13BrN2O3S/c12-10-8(5-13-1-2-18)3-7(11(16)14-17)4-9(10)6-15/h3-4,13,15,18H,1-2,5-6H2",C11H13N2O3SBr,333.0,1.75,4.59,7.03,18.6,0.0
