scaffold;frequency;mean_zscore;shrunk_zscore
c1ccc(-c2ccn[nH]2)cc1;3;-0.4403;-0.201
c1ccc2ccccc2c1;3;0.0314;0.0143
C(#Cc1ccccn1)CNCCC1=CNC=NC1;3;-0.3618;-0.1651
O=c1cc[nH]c(-c2ccc(NC3=NCCO3)cc2)c1;3;1.266;0.5778
c1ccc(-c2cnon2)cc1;3;-0.5027;-0.2294
c1ccc(-c2cocn2)cc1;3;-0.3552;-0.1621
c1ccc(-c2cscn2)cc1;3;0.1547;0.0706
c1ccc(-c2nnc[nH]2)cc1;3;-0.2504;-0.1143
c1ccc(-c2nnn[nH]2)cc1;3;-0.4957;-0.2263
c1ccc(-n2cncn2)cc1;3;0.1841;0.084
c1ccc(CCCc2cn[nH]n2)nc1;3;-0.4809;-0.2195
c1ccc(CCNCCc2cc[nH]n2)cc1;3;0.9751;0.4451
c1ccc(CCc2cscn2)cc1;3;-0.2814;-0.1284
c1ccc(Cc2ccc[nH]2)cc1;3;-0.1588;-0.0725
O=c1cc[nH]c(C2=CN=CCN2)c1;3;-0.0053;-0.0024
C(#Cc1ccccc1)Cc1cnon1;3;0.8615;0.3932
c1nnco1;3;-1.1395;-0.5201
O=c1[nH]c(CC=Cc2cccnc2)no1;3;0.5853;0.2672
O=C1NCC(CCCOc2ccccc2)N1;3;0.0536;0.0244
O=c1[nH]nc(-c2ccccn2)[nH]1;3;-0.657;-0.2999
O=c1[nH]cn[nH]1;3;-1.4067;-0.6421
O=c1[nH]c(-c2ccccc2)no1;3;-0.0328;-0.015
O=C(C=CC1=CCON1)CCc1ccccc1;2;0.0797;0.0286
O=C1NCCN1c1cccc(C#CCCC2=NC=CNC2)c1;2;1.0552;0.3787
O=C(C=Cc1nnco1)Cc1cnco1;2;0.4884;0.1753
O=C1NCC=C(CC=Cc2nnc[nH]2)N1;2;-0.4592;-0.1648
c1nnc(-c2cnn[nH]2)[nH]1;2;-0.2139;-0.0768
c1ncc(-c2cnoc2)o1;2;-0.2458;-0.0882
O=C(C#Cc1cccnc1)NC1C=CC=C1;2;0.6842;0.2456
c1ccc(-c2nncs2)cc1;2;0.2069;0.0743
O=C(C#Cc1cccnc1)NC1CCCCC1;2;0.3409;0.1224
O=C1NCC=C1C=CCCc1ccco1;2;-0.1457;-0.0523
c1cnc2c(Cc3ccc4oncc4c3)c[nH]c2n1;2;0.861;0.309
c1nc[nH]n1;2;-1.0404;-0.3734
c1ccc2c(c1)CCC2;2;-0.3283;-0.1178
O=C1C=CC(C=Cc2ccoc2)CO1;2;-0.4534;-0.1627
O=C1NCCN1c1cccc(C#CCCC2=CCC2)c1;2;0.9663;0.3468
c1ccc(-c2cnsn2)cc1;2;-0.1969;-0.0707
O=C(C1=CCC=CO1)c1n[nH]c(=O)[nH]1;2;-0.3817;-0.137
O=C(C1=CCNC1)c1ncc(C=Cc2ccccc2)cn1;2;1.3051;0.4684
O=C(C1=NN=CNC1)c1cc[nH]c1;2;-0.6266;-0.2249
c1ccc(-c2ncncn2)cc1;2;0.1684;0.0604
O=C1CC(C(=O)c2ccccc2)N1;2;0.5139;0.1844
c1ccc([SH+]c2cccnc2)cc1;2;-0.3201;-0.1149
C1=NCC(c2ccccc2)=CN1;2;-0.1868;-0.067
C1=CNC(CCCOc2ccccc2)=CC1;2;-0.0948;-0.034
C1=CNC=CC1;2;-0.5117;-0.1836
c1ccc(Oc2ccc(-c3ncn[nH]3)cc2)cc1;2;0.1708;0.0613
c1ccc(OCCc2nnc[nH]2)cc1;2;0.3548;0.1273
C1=COC(c2ccccc2)=CC1;2;-0.0307;-0.011
C1=COC=C(C=Cc2ccccc2)C1;2;0.6973;0.2502
c1nnc[nH]1;2;-1.3991;-0.5021
c1ccc(Cc2cnoc2)cc1;2;-0.197;-0.0707
c1ccc(Cc2ccccc2)cc1;2;-0.1503;-0.0539
O=C1NC(=O)C(C(=O)c2ccccc2)=C1C=C1N=COC1=O;2;1.3303;0.4774
C=C1NCCN1c1ccccc1C#Cc1cccnc1;2;-1.2248;-0.4396
c1ccc(COc2ccccc2)cc1;2;0.1059;0.038
c1ccc(CCn2cncn2)cc1;2;1.589;0.5703
c1ccc(CCc2nncs2)cc1;2;0.8313;0.2983
O=C1NC(CC#Cc2ccc[nH]2)c2ccccc21;2;0.3057;0.1097
c1nnc(-c2cnon2)[nH]1;2;-0.6029;-0.2164
C=C(c1cn[nH]n1)c1ccco1;2;-0.4621;-0.1659
C=C(c1cn[nH]n1)c1ncn[nH]1;2;-1.1546;-0.4144
c1ccc([SH+]c2cccc(-c3nc[nH]n3)c2)cc1;2;1.0267;0.3685
c1ccc(CCc2ccc[nH]2)nc1;2;0.1832;0.0657
c1ccc(-c2cnco2)cc1;2;-0.157;-0.0563
O=c1[nH]ncn1-c1ccccc1;2;0.289;0.1037
c1ccc(-c2cnc[nH]2)cc1;2;-0.2615;-0.0939
O=C(c1ccccc1)C1C=CNO1;2;0.4541;0.163
c1cnccn1;2;0.083;0.0298
O=C(c1cc[nH]c1)c1ncc[nH]1;2;-0.4008;-0.1438
S=c1[nH]nco1;2;-0.6394;-0.2295
S=C1NCCN1;2;-1.1566;-0.4151
