SMILES,Name,InChI,Formula,MW,LogP,pKd,Structure,Synthesize,Chemical
N[C@H](Nc1ccc2c(c1)C=C/C/2=C\C1=NN(C(=O)C1)C)N,17/000000028,"InChI=1S/C15H17N5O/c1-20-14(21)8-12(19-20)7-10-3-2-9-6-11(18-15(16)17)4-5-13(9)10/h2-7,15,18H,8,16-17H2,1H3/b10-7+",C15H15N5O,281,0.68,4.11,7.41,22.1,-60
c1nc(oc1C(=O)c1ccc(c(c1)I)I)C1=CCNN1,10/000000051,"InChI=1S/C13H9I2N3O2/c14-8-2-1-7(5-9(8)15)12(19)11-6-16-13(20-11)10-3-4-17-18-10/h1-3,5-6,17-18H,4H2",C13H9N3O2I2,493,4.31,4.11,8.41,3.58,-143
OCc1nc(oc1c1n[nH]c(=O)c(c1)COC)C=C,15/000000186,"InChI=1S/C12H13N3O4/c1-3-10-13-9(5-16)11(19-10)8-4-7(6-18-2)12(17)15-14-8/h3-4,16H,1,5-6H2,2H3,(H,15,17)",C12H13N3O4,263,-0.33,4.11,2.65,23.8,-160
Oc1cc(ccc1C/C=C(/CF)\C1=CC[C@H](O1)CO)CC,4/000000077,"InChI=1S/C17H21FO3/c1-2-12-3-4-13(16(20)9-12)5-6-14(10-18)17-8-7-15(11-19)21-17/h3-4,6,8-9,15,19-20H,2,5,7,10-11H2,1H3/b14-6-/t15-/m0/s1",C17H21O3F,292,2.77,4.1,8.85,4.94,-170
Oc1c(Br)ccc(c1)C[C@@H](c1ncnc(n1)CO)O,23/000000003,"InChI=1S/C12H12BrN3O3/c13-8-2-1-7(3-9(8)18)4-10(19)12-15-6-14-11(5-17)16-12/h1-3,6,10,17-19H,4-5H2/t10-/m0/s1",C12H12N3O3Br,326,-0.18,4.1,5.7,5.21,-150
OCC1=C[C@@H](CC(=C1)CN)NC(=C)CCN(CCC)CF,19/000000038,"InChI=1S/C16H28FN3O/c1-3-5-20(12-17)6-4-13(2)19-16-8-14(10-18)7-15(9-16)11-21/h7,9,16,19,21H,2-6,8,10-12,18H2,1H3/t16-/m1/s1",C16H28N3OF,297,0.3,4.1,5.59,5.09,-200
OCc1nc(oc1c1n[nH]c(=O)cc1)/C=C/CCNC,15/000000146,"InChI=1S/C13H16N4O3/c1-14-7-3-2-4-12-15-10(8-18)13(20-12)9-5-6-11(19)17-16-9/h2,4-6,14,18H,3,7-8H2,1H3,(H,17,19)/b4-2+",C13H16N4O3,276,-0.2,4.1,4.22,24.6,-140
OCCNC/C(=C\CCN)/Cc1cccc(c1)I,10/000000017,"InChI=1S/C14H21IN2O/c15-14-5-1-3-12(10-14)9-13(4-2-6-16)11-17-7-8-18/h1,3-5,10,17-18H,2,6-9,11,16H2/b13-4-",C14H21N2OI,360,1.55,4.1,4.5,3.58,0
OCc1nc(oc1c1n[nH]c(=O)c(c1)CC)COCCC,15/000000188,"InChI=1S/C14H19N3O4/c1-3-5-20-8-12-15-11(7-18)13(21-12)10-6-9(4-2)14(19)17-16-10/h6,18H,3-5,7-8H2,1-2H3,(H,17,19)",C14H19N3O4,293,0.41,4.1,4.42,24.0,-200
OCc1ccc(c2c1nco2)/C=C/[C@H](c1nonc1)C(=O)O,11/000000003,"InChI=1S/C14H11N3O5/c18-6-9-2-1-8(13-12(9)15-7-21-13)3-4-10(14(19)20)11-5-16-22-17-11/h1-5,7,10,18H,6H2,(H,19,20)/b4-3+/t10-/m1/s1",C14H11N3O5,301,1.1,4.1,6.24,25.0,-190
OC(=O)[C@@H](/C=C/c1ccc(cc1N)I)c1cnoc1,13/000000010,"InChI=1S/C13H11IN2O3/c14-10-3-1-8(12(15)5-10)2-4-11(13(17)18)9-6-16-19-7-9/h1-7,11H,15H2,(H,17,18)/b4-2+/t11-/m0/s1",C13H11N2O3I,370,2.61,4.1,6.97,2.35,-150
NCc1nnc([nH]1)[C@@](c1ccc2c(c1Cl)nco2)(C=C)F,3/000000001,"InChI=1S/C13H11ClFN5O/c1-2-13(15,12-18-9(5-16)19-20-12)7-3-4-8-11(10(7)14)17-6-21-8/h2-4,6H,1,5,16H2,(H,18,19,20)/t13-/m0/s1",C13H11N5OFCl,307,2.88,4.09,4.31,24.0,-197
Oc1noc(c1CC)C/C=C(/CF)\C1=CC[C@H](O1)CO,4/000000042,"InChI=1S/C14H18FNO4/c1-2-11-13(20-16-14(11)18)5-3-9(7-15)12-6-4-10(8-17)19-12/h3,6,10,17H,2,4-5,7-8H2,1H3,(H,16,18)/b9-3-/t10-/m0/s1",C14H18NO4F,283,1.75,4.09,7.58,4.94,-170
