SMILES,Name,InChI,Formula,MW,LogP,pKd,Structure,Synthesize,Chemical,SA_Score,SA_Score_Binary
OCc1nc(oc1c1n[nH]c(=O)cc1)CC/C(=C/C)/CC	No_6_584,15/000000266,"InChI=1S/C15H19N3O3/c1-3-10(4-2)5-8-14-16-12(9-19)15(21-14)11-6-7-13(20)18-17-11/h3,6-7,19H,4-5,8-9H2,1-2H3,(H,18,20)/b10-3+",C15H19N3O3,289,0.77,4.24,3.73,24.4,-200,3.3231197612405143,1
OCc1nc(oc1c1n[nH]c(=O)cc1)CCCCF	No_6_487,15/000000259,"InChI=1S/C12H14FN3O3/c13-6-2-1-3-11-14-9(7-17)12(19-11)8-4-5-10(18)16-15-8/h4-5,17H,1-3,6-7H2,(H,16,18)",C12H14N3O3F,267,0.93,4.24,1.84,24.3,-120,3.1028874050629787,1
Oc1c(I)cccc1c1nc(nc(n1)CCO)CO	No_4_543,23/000000001,"InChI=1S/C12H12IN3O3/c13-8-3-1-2-7(11(8)19)12-15-9(4-5-17)14-10(6-18)16-12/h1-3,17-19H,4-6H2",C12H12N3O3I,373,0.3,4.23,7.28,14.1,-160,2.9872808738583334,1
C1=C(C#C[C@](CCCCC)(CN)[NH3+])CCC1=O	No_3_354,27/000000001,"InChI=1S/C14H22N2O/c1-2-3-4-8-14(16,11-15)9-7-12-5-6-13(17)10-12/h10H,2-6,8,11,15-16H2,1H3/p+1/t14-/m1/s1",C14H23N2O,235,0.44,4.23,4.73,17.2,-170,4.350203367980864,0
O=C(NCC[NH3+])c1oc(cc1CCCNC1=NCCCO1)Br	No_3_739,6/000000025,"InChI=1S/C14H21BrN4O3/c15-11-9-10(12(22-11)13(20)17-7-4-16)3-1-5-18-14-19-6-2-8-21-14/h9H,1-8,16H2,(H,17,20)(H,18,19)/p+1",C14H22N4O3Br,374,0.78,4.23,4.15,5.24,-20,3.753536543999944,1
OC(=O)c1c(O)ccnc1COC(=O)c1cccc(c1CO)N	No_3_249,16/000000011,"InChI=1S/C15H14N2O6/c16-10-3-1-2-8(9(10)6-18)15(22)23-7-11-13(14(20)21)12(19)4-5-17-11/h1-5,18H,6-7,16H2,(H,17,19)(H,20,21)",C15H14N2O6,318,0.09,4.23,6.51,5.49,0,2.6544474652815264,1
OC(=O)c1cccnc1COC(=O)c1ccc(c(c1)N)OCN	No_2_634,16/000000001,"InChI=1S/C15H15N3O5/c16-8-23-13-4-3-9(6-11(13)17)15(21)22-7-12-10(14(19)20)2-1-5-18-12/h1-6H,7-8,16-17H2,(H,19,20)",C15H15N3O5,317,0.58,4.23,4.07,3.7,0,2.400246503743066,1
O[C@H](c1c(F)ccc2c1cc[nH]2)N	No_1_50,21/000000004,"InChI=1S/C9H9FN2O/c10-6-1-2-7-5(3-4-12-7)8(6)9(11)13/h1-4,9,12-13H,11H2/t9-/m1/s1",C9H9N2OF,180,0.99,4.23,6.1,12.3,-190,3.0784812824666457,1
OCc1nc(oc1c1n[nH]c(=O)c(c1)C)/C=C/CNC	No_5_569,15/000000142,"InChI=1S/C13H16N4O3/c1-8-6-9(16-17-13(8)19)12-10(7-18)15-11(20-12)4-3-5-14-2/h3-4,6,14,18H,5,7H2,1-2H3,(H,17,19)/b4-3+",C13H16N4O3,276,-0.21,4.22,1.33,24.6,-200,3.458125410776053,1
OC(=O)c1ncc(cn1)/C=C/c1ccc(c(c1)Cl)CN	No_1_475,12/000000011,"InChI=1S/C14H12ClN3O2/c15-12-5-9(3-4-11(12)6-16)1-2-10-7-17-13(14(19)20)18-8-10/h1-5,7-8H,6,16H2,(H,19,20)/b2-1+",C14H12N3O2Cl,289,1.39,4.22,5.5,3.7,0,2.582516894292537,1
OCc1cnc([nH]1)C(=O)C#Cc1cnc(cc1OC)N	No_5_178,11/000000007,"InChI=1S/C13H12N4O3/c1-20-11-4-12(14)15-5-8(11)2-3-10(19)13-16-6-9(7-18)17-13/h4-6,18H,7H2,1H3,(H2,14,15)(H,16,17)",C13H12N4O3,272,-0.04,4.22,7.68,3.85,-20,3.2954973887980312,1
OC[C@H]1OC(=CC1)/C(=C\Cc1onc(c1CCOC)O)/C(=O)O	No_7_557,4/000000101,"InChI=1S/C15H19NO7/c1-21-7-6-10-13(23-16-14(10)18)5-3-11(15(19)20)12-4-2-9(8-17)22-12/h3-4,9,17H,2,5-8H2,1H3,(H,16,18)(H,19,20)/b11-3+/t9-/m0/s1",C15H18NO7,324,-0.02,4.22,9.58,5.21,-170,4.229823613123962,0
O[C@@H](C[NH2+]Cc1nonc1)C#Cc1cc(Cl)cc(c1)Cl	No_6_163,10/000000011,"InChI=1S/C13H11Cl2N3O2/c14-10-3-9(4-11(15)5-10)1-2-13(19)8-16-6-12-7-17-20-18-12/h3-5,7,13,16,19H,6,8H2/p+1/t13-/m1/s1",C13H12N3O2Cl2,312,3.55,4.21,0.18,3.58,-150,4.582312793436303,0
OCCNCCN1N=C(CC1=O)/C=C/1\C=Cc2c1cccc2	No_2_713,17/000000034,"InChI=1S/C17H19N3O2/c21-10-8-18-7-9-20-17(22)12-15(19-20)11-14-6-5-13-3-1-2-4-16(13)14/h1-6,11,18,21H,7-10,12H2/b14-11+",C17H19N3O2,297,0.88,4.21,4.14,3.72,-60,3.1843473956482953,1
OCCNC(=O)c1oc(cc1CC[C@@H](c1nocc1)C=C)Br	No_3_370,6/000000020,"InChI=1S/C15H17BrN2O4/c1-2-10(12-5-8-21-18-12)3-4-11-9-13(16)22-14(11)15(20)17-6-7-19/h2,5,8-10,19H,1,3-4,6-7H2,(H,17,20)/t10-/m0/s1",C15H17N2O4Br,369,1.46,4.21,4.11,5.24,-150,3.881308562101153,1
OC[C@H]1OC(=CC1)/C=C\Cc1onc(c1CCOC)O	No_5_56,4/000000008,"InChI=1S/C14H19NO5/c1-18-8-7-12-13(20-15-14(12)17)4-2-3-10-5-6-11(9-16)19-10/h2-3,5,11,16H,4,6-9H2,1H3,(H,15,17)/b3-2-/t11-/m0/s1",C14H19NO5,281,0.89,4.2,7.3,3.72,-170,4.3157573278492585,0
OC(=O)[C@@](c1nnco1)(N)C#CC(=O)CC	No_3_394,25/000000004,"InChI=1S/C9H9N3O4/c1-2-6(13)3-4-9(10,8(14)15)7-12-11-5-16-7/h5H,2,10H2,1H3,(H,14,15)/t9-/m1/s1",C9H9N3O4,223,0.1,4.2,3.75,22.4,-170,4.518599667913486,0
