SMILES;Name;InChI;Formula;MW;LogP;pKd;Structure;Synthesize;Chemical
c1c(F)cc(c(c1)c1cn[nH]c1CN)C(=O)O	No_5_589;3/000000003;InChI=1S/C11H10FN3O2/c12-6-1-2-7(8(3-6)11(16)17)9-5-14-15-10(9)4-13/h1-3,5H,4,13H2,(H,14,15)(H,16,17);C11H9N3O2F;234;1.12;4.26;5.73;2.22;-120
Oc1ccc2c(c1)C(=O)N[C@H]2CC#Cc1[nH]ccc1CN	No_3_428;3/000000009;InChI=1S/C16H15N3O2/c17-9-10-6-7-18-14(10)2-1-3-15-12-5-4-11(20)8-13(12)16(21)19-15/h4-8,15,18,20H,3,9,17H2,(H,19,21)/t15-/m0/s1;C16H15N3O2;281;1.19;4.11;5.48;6.45;-190
Oc1ccc2c(c1)C(=O)N[C@H]2CC#Cc1[nH]ccc1CN	No_3_429;3/000000010;InChI=1S/C16H15N3O2/c17-9-10-6-7-18-14(10)2-1-3-15-12-5-4-11(20)8-13(12)16(21)19-15/h4-8,15,18,20H,3,9,17H2,(H,19,21)/t15-/m0/s1;C16H15N3O2;281;1.19;4.11;5.48;6.45;-190
Oc1ccc2c(c1Cc1cc(Cl)cc(c1)Cl)C(=O)NC2	No_4_477;3/000000002;InChI=1S/C15H11Cl2NO2/c16-10-3-8(4-11(17)6-10)5-12-13(19)2-1-9-7-18-15(20)14(9)12/h1-4,6,19H,5,7H2,(H,18,20);C15H11NO2Cl2;307;3.71;4.04;2.56;2.22;-80
NCc1nnc([nH]1)[C@@](c1ccc2c(c1Cl)nco2)(C=C)F	No_4_339;3/000000001;InChI=1S/C13H11ClFN5O/c1-2-13(15,12-18-9(5-16)19-20-12)7-3-4-8-11(10(7)14)17-6-21-8/h2-4,6H,1,5,16H2,(H,18,19,20)/t13-/m0/s1;C13H11N5OFCl;307;2.88;4.09;4.31;24.00;-197
Oc1noc(c1CCCC)C/C=C(\C1=CC[C@H](O1)CO)/C(=O)O	No_7_617;4/000000103;InChI=1S/C16H21NO6/c1-2-3-4-11-14(23-17-15(11)19)8-6-12(16(20)21)13-7-5-10(9-18)22-13/h6-7,10,18H,2-5,8-9H2,1H3,(H,17,19)(H,20,21)/b12-6+/t10-/m0/s1;C16H20NO6;322;1.31;4.53;9.32;5.21;-170
Oc1noc(c1)C/C=C(\C1=C(C)C[C@H](O1)CO)/C(=O)O	No_6_494;4/000000043;InChI=1S/C13H15NO6/c1-7-4-9(6-15)19-12(7)10(13(17)18)3-2-8-5-11(16)14-20-8/h3,5,9,15H,2,4,6H2,1H3,(H,14,16)(H,17,18)/b10-3+/t9-/m0/s1;C13H14NO6;280;0.05;4.43;8.51;4.81;-170
Oc1noc(c1)C/C=C(\C1=CC[C@H](O1)CO)/C(=O)O	No_5_10;4/000000005;InChI=1S/C12H13NO6/c14-6-8-2-4-10(18-8)9(12(16)17)3-1-7-5-11(15)13-19-7/h3-5,8,14H,1-2,6H2,(H,13,15)(H,16,17)/b9-3+/t8-/m0/s1;C12H12NO6;266;0.20;4.62;8.05;3.72;-150
OC[C@H]1OC(=CC1)/C=C\Cc1onc(c1CCOC)O	No_5_56;4/000000008;InChI=1S/C14H19NO5/c1-18-8-7-12-13(20-15-14(12)17)4-2-3-10-5-6-11(9-16)19-10/h2-3,5,11,16H,4,6-9H2,1H3,(H,15,17)/b3-2-/t11-/m0/s1;C14H19NO5;281;0.89;4.20;7.30;3.72;-170
Oc1noc(c1C[NH3+])C/C=C(/CF)\C1=CC[C@H](O1)CO	No_7_41;4/000000062;InChI=1S/C13H17FN2O4/c14-5-8(11-4-2-9(7-17)19-11)1-3-12-10(6-15)13(18)16-20-12/h1,4,9,17H,2-3,5-7,15H2,(H,16,18)/p+1/b8-1-/t9-/m0/s1;C13H18N2O4F;285;0.39;4.61;7.56;4.94;-150
Oc1noc(c1CCl)C/C=C(/CF)\C1=CC[C@H](O1)C(=O)CO	No_7_296;4/000000081;InChI=1S/C14H15ClFNO5/c15-5-9-12(22-17-14(9)20)2-1-8(6-16)11-3-4-13(21-11)10(19)7-18/h1,3,13,18H,2,4-7H2,(H,17,20)/b8-1-/t13-/m0/s1;C14H15NO5FCl;331;1.12;4.07;8.19;3.70;-150
OC[C@H]1OC(=CC1)/C(=C\Cc1onc(c1C[NH2+]C)O)/CF	No_6_581;4/000000045;InChI=1S/C14H19FN2O4/c1-16-7-11-13(21-17-14(11)19)4-2-9(6-15)12-5-3-10(8-18)20-12/h2,5,10,16,18H,3-4,6-8H2,1H3,(H,17,19)/p+1/b9-2-/t10-/m0/s1;C14H20N2O4F;299;0.78;4.74;8.73;6.45;-170
OC(=O)c1c(O)noc1C/C=C(\C1=CC[C@H](O1)CO)/C(=O)O	No_5_265;4/000000011;InChI=1S/C13H13NO8/c15-5-6-1-3-8(21-6)7(12(17)18)2-4-9-10(13(19)20)11(16)14-22-9/h2-3,6,15H,1,4-5H2,(H,14,16)(H,17,18)(H,19,20)/b7-2+/t6-/m0/s1;C13H12NO8;310;-0.27;4.30;8.04;5.35;-150
Oc1noc(c1C)C/C=C(\C1=CC[C@H](O1)CO)/C(=O)O	No_7_59;4/000000066;InChI=1S/C13H15NO6/c1-7-10(20-14-12(7)16)5-3-9(13(17)18)11-4-2-8(6-15)19-11/h3-4,8,15H,2,5-6H2,1H3,(H,14,16)(H,17,18)/b9-3+/t8-/m0/s1;C13H14NO6;280;0.34;4.26;8.14;3.72;-170
Oc1noc(c1CCBr)C/C=C(\C1=CC[C@H](O1)CO)/C(=O)O	No_7_455;4/000000096;InChI=1S/C14H16BrNO6/c15-6-5-9-12(22-16-13(9)18)4-2-10(14(19)20)11-3-1-8(7-17)21-11/h2-3,8,17H,1,4-7H2,(H,16,18)(H,19,20)/b10-2+/t8-/m0/s1;C14H15NO6Br;373;1.28;4.47;8.99;5.21;-150
Oc1noc(c1)C/C=C(\C1=CC[C@H](O1)CO)/C(=O)O	No_6_14;4/000000024;InChI=1S/C12H13NO6/c14-6-8-2-4-10(18-8)9(12(16)17)3-1-7-5-11(15)13-19-7/h3-5,8,14H,1-2,6H2,(H,13,15)(H,16,17)/b9-3+/t8-/m0/s1;C12H12NO6;266;0.20;4.45;8.16;3.72;-150
Oc1noc(c1COC(=O)CO)C/C=C(/CF)\C1=CC[C@H](O1)CO	No_6_226;4/000000034;InChI=1S/C15H18FNO7/c16-5-9(12-4-2-10(6-18)23-12)1-3-13-11(15(21)17-24-13)8-22-14(20)7-19/h1,4,10,18-19H,2-3,5-8H2,(H,17,21)/b9-1-/t10-/m0/s1;C15H18NO7F;343;0.16;4.89;9.08;5.08;-150
Oc1noc(c1CCl)C/C=C(\C1=CC[C@H](O1)CO)/C(=O)O	No_5_443;4/000000014;InChI=1S/C13H14ClNO6/c14-5-9-11(21-15-12(9)17)4-2-8(13(18)19)10-3-1-7(6-16)20-10/h2-3,7,16H,1,4-6H2,(H,15,17)(H,18,19)/b8-2+/t7-/m0/s1;C13H13NO6Cl;314;0.58;4.34;8.43;3.84;-150
OC[C@H]1OC(=CC1)/C=C\Cc1onc(c1CCOC)O	No_4_644;4/000000004;InChI=1S/C14H19NO5/c1-18-8-7-12-13(20-15-14(12)17)4-2-3-10-5-6-11(9-16)19-10/h2-3,5,11,16H,4,6-9H2,1H3,(H,15,17)/b3-2-/t11-/m0/s1;C14H19NO5;281;0.89;4.20;7.30;3.72;-170
Oc1noc(c1)C/C=C(\C1=CC[C@H](O1)CO)/C(=O)O	No_6_28;4/000000028;InChI=1S/C12H13NO6/c14-6-8-2-4-10(18-8)9(12(16)17)3-1-7-5-11(15)13-19-7/h3-5,8,14H,1-2,6H2,(H,13,15)(H,16,17)/b9-3+/t8-/m0/s1;C12H12NO6;266;0.20;4.07;7.97;3.72;-150
Oc1noc(c1)C/C=C(\C1=CC[C@H](O1)CO)/C(=O)O	No_7_17;4/000000054;InChI=1S/C12H13NO6/c14-6-8-2-4-10(18-8)9(12(16)17)3-1-7-5-11(15)13-19-7/h3-5,8,14H,1-2,6H2,(H,13,15)(H,16,17)/b9-3+/t8-/m0/s1;C12H12NO6;266;0.20;4.62;8.05;3.72;-150
Oc1noc(c1CCl)C/C=C(\C1=CC[C@H](O1)CO)/C(=O)O	No_6_22;4/000000027;InChI=1S/C13H14ClNO6/c14-5-9-11(21-15-12(9)17)4-2-8(13(18)19)10-3-1-7(6-16)20-10/h2-3,7,16H,1,4-6H2,(H,15,17)(H,18,19)/b8-2+/t7-/m0/s1;C13H13NO6Cl;314;0.58;4.34;8.43;3.84;-150
OC(=O)[C@H]1OC(=CC1)/C(=C\Cc1onc(c1CCCC)O)/CF	No_6_344;4/000000038;InChI=1S/C16H20FNO5/c1-2-3-4-11-13(23-18-15(11)19)6-5-10(9-17)12-7-8-14(22-12)16(20)21/h5,7,14H,2-4,6,8-9H2,1H3,(H,18,19)(H,20,21)/b10-5-/t14-/m0/s1;C16H20NO5F;325;2.62;4.25;8.40;5.35;-170
Oc1noc(c1)C/C=C(\C1=CC[C@H](O1)CO)/C(=O)O	No_5_11;4/000000006;InChI=1S/C12H13NO6/c14-6-8-2-4-10(18-8)9(12(16)17)3-1-7-5-11(15)13-19-7/h3-5,8,14H,1-2,6H2,(H,13,15)(H,16,17)/b9-3+/t8-/m0/s1;C12H12NO6;266;0.20;4.45;8.16;3.72;-150
Oc1noc(c1CCC)C/C=C(\C1=CC[C@H](O1)CO)/C(=O)O	No_7_319;4/000000082;InChI=1S/C15H19NO6/c1-2-3-10-13(22-16-14(10)18)7-5-11(15(19)20)12-6-4-9(8-17)21-12/h5-6,9,17H,2-4,7-8H2,1H3,(H,16,18)(H,19,20)/b11-5+/t9-/m0/s1;C15H18NO6;308;0.95;4.37;9.19;5.21;-170
Oc1cc(ccc1C/C=C(/CF)\C1=CC[C@H](O1)CO)CC	No_7_255;4/000000077;InChI=1S/C17H21FO3/c1-2-12-3-4-13(16(20)9-12)5-6-14(10-18)17-8-7-15(11-19)21-17/h3-4,6,8-9,15,19-20H,2,5,7,10-11H2,1H3/b14-6-/t15-/m0/s1;C17H21O3F;292;2.77;4.10;8.85;4.94;-170
Oc1nc(cc(c1)I)CCc1cc(c[nH]1)C(=O)N(C)C	No_5_382;4/000000048;InChI=1S/C14H16IN3O2/c1-18(2)14(20)9-5-11(16-8-9)3-4-12-6-10(15)7-13(19)17-12/h5-8,16H,3-4H2,1-2H3,(H,17,19);C14H16N3O2I;385;2.44;4.06;4.50;5.09;-80
Oc1noc(c1C[NH3+])C/C=C(/CF)\C1=CC[C@H](O1)CO	No_6_290;4/000000035;InChI=1S/C13H17FN2O4/c14-5-8(11-4-2-9(7-17)19-11)1-3-12-10(6-15)13(18)16-20-12/h1,4,9,17H,2-3,5-7,15H2,(H,16,18)/p+1/b8-1-/t9-/m0/s1;C13H18N2O4F;285;0.39;4.68;7.28;4.94;-150
Oc1noc(c1COCC)C/C=C(\C1=CC[C@H](O1)CO)/C(=O)O	No_7_96;4/000000072;InChI=1S/C15H19NO7/c1-2-21-8-11-13(23-16-14(11)18)6-4-10(15(19)20)12-5-3-9(7-17)22-12/h4-5,9,17H,2-3,6-8H2,1H3,(H,16,18)(H,19,20)/b10-4+/t9-/m0/s1;C15H18NO7;324;0.25;4.37;8.29;6.58;-170
